,number_pca_components_class
0,5
1,4
2,4
3,5
4,6
5,4
6,5
7,5
8,4
9,3
10,4
11,4
12,4
13,4
14,5
15,5
16,5
17,4
18,4
19,5
20,5
21,5
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,5
30,4
31,5
32,5
33,4
34,4
35,4
36,5
37,5
38,5
39,5
40,5
41,4
42,5
43,5
44,5
45,4
46,4
47,4
48,5
49,5
50,4
51,4
52,5
53,4
54,3
55,4
56,4
57,4
58,4
59,4
60,3
61,4
62,4
63,4
64,5
65,4
66,3
67,5
68,4
69,5
70,4
71,5
72,4
73,4
74,4
75,3
76,4
77,3
78,4
79,5
80,4
81,4
82,3
83,4
84,4
85,5
86,4
87,4
88,4
89,5
90,3
91,4
92,4
93,3
94,4
95,4
96,4
97,4
98,5
99,4
100,4
101,5
102,4
103,4
104,4
105,4
106,4
107,3
108,3
109,4
110,4
111,3
112,4
113,4
114,5
115,4
116,4
117,4
118,4
119,4
120,3
121,4
122,5
123,4
124,4
125,3
126,4
127,3
128,3
129,5
130,5
131,4
132,5
133,4
134,4
135,4
136,4
137,5
138,4
139,4
140,4
141,5
142,4
143,4
144,5
145,3
146,3
147,4
148,5
149,4
150,4
151,5
152,5
153,4
154,5
155,5
156,3
157,4
158,5
159,5
160,3
161,4
162,4
163,3
164,3
165,4
166,4
167,4
168,4
169,4
170,4
171,4
172,5
173,5
174,4
175,5
176,3
177,3
178,5
179,5
180,3
181,4
182,5
183,4
184,4
185,5
186,5
187,4
188,5
189,4
190,4
191,4
192,5
193,4
194,5
195,4
196,5
197,4
198,5
199,4
