,pca_variance_class
0,0.669261599249427
1,0.8418171105803837
2,0.5923448404359494
3,0.7608719097684601
4,0.6624843672114804
5,0.7581468354093717
6,0.5757021319328757
7,0.8409894222021523
8,0.5024984212482788
9,0.7091277726818944
