,number_pca_components_class
0,21
1,11
2,13
3,13
4,12
5,12
6,14
7,17
8,13
9,11
10,14
11,12
12,9
13,23
14,22
15,14
16,15
17,16
18,15
19,14
20,11
21,11
22,14
23,20
24,12
25,12
26,14
27,10
28,10
29,10
30,10
31,14
32,12
33,10
34,13
35,11
36,15
37,14
38,16
39,15
40,14
41,13
42,16
43,15
44,13
45,19
46,18
47,14
48,11
49,10
50,10
51,11
52,14
53,11
54,10
55,10
56,12
57,11
58,10
59,12
60,10
61,12
62,13
63,10
64,12
65,10
66,12
67,13
68,10
69,14
70,9
71,16
72,17
73,12
74,10
75,10
76,11
77,10
78,13
79,15
80,14
81,9
82,11
83,15
84,9
85,15
86,10
87,10
88,13
89,14
90,13
91,13
92,12
93,12
94,11
95,14
96,12
97,11
98,12
99,11
100,10
101,13
102,12
103,11
104,13
105,10
106,10
107,10
108,9
109,12
110,11
111,9
112,10
113,15
114,12
115,14
116,8
117,10
118,10
119,9
120,10
121,10
122,15
123,12
124,13
125,10
126,12
127,11
128,10
129,10
130,16
131,12
132,12
133,9
134,14
135,13
136,10
137,14
138,11
139,12
140,13
141,12
142,12
143,9
144,13
145,13
146,9
147,11
148,17
149,13
150,12
151,12
152,12
153,12
154,9
155,11
156,10
157,12
158,14
159,13
160,14
161,14
162,11
163,12
164,10
165,10
166,9
167,11
168,14
169,12
170,10
171,12
172,13
173,13
174,13
175,14
176,11
177,15
178,15
179,13
180,13
181,16
182,16
183,15
184,18
185,13
186,20
187,20
188,17
189,15
190,16
191,17
192,16
193,13
194,13
195,14
196,19
197,13
198,13
199,14
