,number_pca_components_class
0,25
1,16
2,18
3,19
4,20
5,17
6,20
7,25
8,23
9,18
10,21
11,21
12,18
13,39
14,31
15,20
16,20
17,22
18,16
19,24
20,18
21,21
22,24
23,40
24,21
25,20
26,20
27,20
28,18
29,19
30,19
31,20
32,21
33,22
34,21
35,18
36,19
37,18
38,16
39,21
40,22
41,20
42,23
43,22
44,17
45,18
46,30
47,20
48,19
49,20
50,20
51,21
52,21
53,20
54,18
55,18
56,19
57,19
58,18
59,19
60,18
61,17
62,20
63,20
64,23
65,19
66,21
67,22
68,17
69,22
70,17
71,28
72,27
73,19
74,21
75,20
76,20
77,18
78,22
79,25
80,26
81,16
82,16
83,20
84,17
85,24
86,24
87,21
88,23
89,20
90,20
91,20
92,24
93,16
94,17
95,27
96,22
97,18
98,20
99,22
100,21
101,29
102,21
103,17
104,18
105,17
106,20
107,17
108,19
109,22
110,21
111,16
112,17
113,21
114,17
115,18
116,18
117,25
118,18
119,18
120,19
121,19
122,24
123,18
124,24
125,22
126,18
127,22
128,19
129,21
130,23
131,20
132,26
133,16
134,22
135,22
136,20
137,21
138,20
139,21
140,20
141,20
142,19
143,16
144,21
145,17
146,22
147,20
148,36
149,23
150,18
151,20
152,21
153,18
154,23
155,20
156,19
157,21
158,22
159,23
160,20
161,20
162,19
163,20
164,17
165,17
166,16
167,20
168,23
169,20
170,22
171,17
172,24
173,26
174,18
175,20
176,17
177,17
178,18
179,19
180,21
181,18
182,18
183,20
184,18
185,17
186,20
187,23
188,22
189,17
190,17
191,17
192,19
193,20
194,24
195,22
196,37
197,22
198,25
199,19
