,pca_variance_class
0,0.33968193218703013
1,0.34571667389849187
2,0.30699943677831343
3,0.3124874038174853
4,0.31821191277405325
5,0.2842042391617124
6,0.30369844559925424
7,0.2931098197291942
8,0.2901173561424659
9,0.35754910192638856
