,number_pca_components_class
0,23
1,30
2,32
3,33
4,27
5,36
6,39
7,38
8,29
9,35
10,36
11,34
12,30
13,22
14,35
15,37
16,41
17,39
18,34
19,35
20,29
21,32
22,27
23,20
24,38
25,38
26,38
27,39
28,35
29,36
30,35
31,34
32,36
33,38
34,35
35,34
36,31
37,34
38,35
39,34
40,36
41,38
42,34
43,35
44,29
45,30
46,35
47,36
48,38
49,34
50,35
51,35
52,31
53,38
54,37
55,32
56,33
57,33
58,33
59,41
60,31
61,37
62,35
63,40
64,38
65,33
66,37
67,42
68,36
69,37
70,30
71,35
72,39
73,40
74,39
75,35
76,44
77,37
78,34
79,43
80,41
81,27
82,32
83,37
84,34
85,39
86,33
87,33
88,40
89,41
90,33
91,36
92,37
93,31
94,26
95,34
96,33
97,34
98,38
99,39
100,36
101,33
102,41
103,30
104,36
105,35
106,38
107,30
108,31
109,37
110,33
111,26
112,34
113,40
114,33
115,28
116,31
117,37
118,33
119,36
120,35
121,29
122,37
123,35
124,28
125,37
126,33
127,37
128,29
129,38
130,41
131,39
132,35
133,24
134,39
135,39
136,35
137,34
138,36
139,37
140,32
141,37
142,38
143,31
144,39
145,28
146,27
147,37
148,30
149,43
150,41
151,35
152,33
153,27
154,28
155,36
156,38
157,29
158,43
159,40
160,42
161,40
162,33
163,35
164,32
165,30
166,23
167,33
168,43
169,38
170,32
171,39
172,37
173,29
174,39
175,43
176,34
177,34
178,31
179,37
180,37
181,34
182,34
183,37
184,28
185,39
186,29
187,30
188,40
189,33
190,35
191,30
192,30
193,32
194,28
195,34
196,35
197,32
198,30
199,36
