,epoch,Train_accuracy_org
0,1,10.118333333333334
1,2,13.043333333333335
2,3,16.34
3,4,17.871666666666666
4,5,18.34
5,6,18.78333333333333
6,7,19.001666666666665
7,8,18.791666666666668
8,9,18.385
9,10,17.66
10,11,16.968333333333334
11,12,16.068333333333335
12,13,15.096666666666666
13,14,14.325
14,15,13.648333333333335
15,16,13.016666666666667
16,17,12.563333333333334
17,18,12.033333333333333
18,19,11.606666666666667
19,20,11.378333333333334
20,21,11.071666666666667
21,22,10.674999999999999
22,23,10.4
23,24,9.81
24,25,9.611666666666666
25,26,9.436666666666667
26,27,9.133333333333333
27,28,8.81
28,29,8.726666666666667
29,30,8.556666666666667
30,31,8.521666666666667
31,32,8.705
32,33,8.68
33,34,8.91
34,35,8.885
35,36,8.72
36,37,8.773333333333333
37,38,9.035
38,39,9.061666666666666
39,40,8.813333333333333
40,41,8.758333333333333
41,42,8.621666666666666
42,43,8.778333333333334
43,44,8.821666666666667
44,45,8.873333333333333
45,46,8.83
46,47,8.691666666666666
47,48,8.825
48,49,9.031666666666666
49,50,9.09
50,51,8.715
51,52,8.706666666666667
52,53,8.833333333333334
53,54,8.765
54,55,9.28
55,56,8.543333333333333
56,57,8.845
57,58,8.88
58,59,9.19
59,60,9.391666666666666
60,61,9.491666666666667
61,62,9.43
62,63,9.791666666666666
63,64,10.266666666666667
64,65,10.23
65,66,10.578333333333333
66,67,10.190000000000001
67,68,10.111666666666666
68,69,10.436666666666666
69,70,10.38
70,71,10.6
71,72,10.521666666666667
72,73,10.435
73,74,10.428333333333335
74,75,10.32
75,76,10.718333333333334
76,77,11.031666666666666
77,78,11.01
78,79,11.346666666666666
79,80,11.76
80,81,12.030000000000001
81,82,12.521666666666667
82,83,11.946666666666667
83,84,12.463333333333333
84,85,12.136666666666667
85,86,11.086666666666666
86,87,9.731666666666666
87,88,9.748333333333333
88,89,9.975000000000001
89,90,9.111666666666666
90,91,9.638333333333334
91,92,10.606666666666667
92,93,10.683333333333334
93,94,11.378333333333334
94,95,10.656666666666666
95,96,10.565
96,97,9.793333333333333
97,98,9.448333333333334
98,99,9.87
99,100,10.69
100,101,10.161666666666665
101,102,10.008333333333333
102,103,10.895000000000001
103,104,10.973333333333333
104,105,9.551666666666666
105,106,9.708333333333332
106,107,10.31
107,108,10.433333333333334
108,109,9.120000000000001
109,110,9.046666666666667
110,111,9.721666666666668
111,112,9.383333333333335
112,113,9.593333333333334
113,114,9.351666666666667
114,115,9.081666666666667
115,116,9.858333333333333
116,117,9.955
117,118,9.180000000000001
118,119,9.254999999999999
119,120,8.876666666666665
120,121,9.193333333333333
121,122,9.030000000000001
122,123,8.768333333333334
123,124,10.433333333333334
124,125,10.183333333333334
125,126,10.763333333333334
126,127,9.975000000000001
127,128,10.31
128,129,10.576666666666666
129,130,10.05
130,131,9.781666666666666
131,132,9.961666666666668
132,133,10.65
133,134,10.221666666666666
134,135,10.531666666666666
135,136,9.946666666666665
136,137,9.586666666666668
137,138,9.745
138,139,10.005
139,140,10.346666666666666
140,141,9.866666666666667
141,142,9.993333333333334
142,143,9.866666666666667
143,144,9.92
144,145,10.421666666666667
145,146,10.173333333333332
146,147,10.083333333333332
147,148,10.176666666666668
148,149,9.473333333333333
149,150,9.69
150,151,10.145
151,152,9.688333333333334
152,153,10.16
153,154,9.786666666666667
154,155,9.828333333333333
155,156,10.75
156,157,9.805
157,158,9.408333333333333
158,159,9.848333333333334
159,160,9.318333333333333
160,161,10.854999999999999
161,162,10.546666666666667
162,163,9.885
163,164,9.681666666666667
164,165,9.591666666666667
165,166,10.003333333333334
166,167,9.916666666666666
167,168,9.648333333333333
168,169,9.991666666666667
169,170,10.08
170,171,9.86
171,172,9.46
172,173,9.613333333333333
173,174,10.209999999999999
174,175,10.391666666666667
175,176,10.465
176,177,10.545
177,178,10.333333333333334
178,179,10.648333333333333
179,180,10.905
180,181,10.25
181,182,9.873333333333335
182,183,10.075000000000001
183,184,9.743333333333332
184,185,10.086666666666666
185,186,10.4
186,187,10.561666666666666
187,188,10.108333333333333
188,189,10.575
189,190,10.106666666666667
190,191,10.228333333333333
191,192,9.723333333333334
192,193,10.846666666666668
193,194,9.998333333333333
194,195,10.235
195,196,10.226666666666667
196,197,10.686666666666667
197,198,10.435
198,199,10.24
199,200,10.448333333333332
200,201,10.493333333333334
201,202,10.638333333333334
202,203,10.135
203,204,10.303333333333335
204,205,10.306666666666667
205,206,9.668333333333333
206,207,10.305
207,208,10.184999999999999
208,209,10.113333333333333
209,210,10.27
210,211,10.436666666666666
211,212,10.461666666666666
212,213,10.183333333333334
213,214,10.466666666666667
214,215,10.045
215,216,10.065
216,217,10.268333333333333
217,218,10.411666666666667
218,219,10.488333333333333
219,220,10.573333333333332
220,221,10.345
221,222,10.266666666666667
222,223,10.165000000000001
223,224,9.966666666666667
224,225,9.888333333333334
225,226,10.361666666666666
226,227,10.213333333333335
227,228,10.530000000000001
228,229,10.235
229,230,10.505
230,231,10.478333333333333
231,232,10.293333333333333
232,233,10.528333333333334
233,234,10.521666666666667
