,epoch,average_angle_pc_weight
0,0,88.46436309814453
1,1,88.3222640991211
2,2,88.3363639831543
3,4,88.13174591064453
4,6,88.53152008056641
5,8,88.37677764892578
6,10,89.9639289855957
7,12,89.52898788452148
8,14,89.12887878417969
9,16,89.48696060180664
10,18,89.60199966430665
11,20,89.60174865722657
12,25,90.09888229370117
13,30,89.59196014404297
14,35,89.65165328979492
15,40,89.65751876831055
16,45,89.40717315673828
17,50,89.58710098266602
18,55,89.83216934204101
19,60,89.63264999389648
20,65,89.70349502563477
21,70,89.59994735717774
22,75,89.7810043334961
23,80,89.85543975830078
24,85,89.89347610473632
25,90,89.89940948486328
26,95,89.95388488769531
27,100,90.04949798583985
28,105,90.03048248291016
29,110,89.88455810546876
30,115,90.15026092529297
31,120,90.03044967651367
32,125,90.25171432495117
33,130,90.28384628295899
34,135,90.40001678466797
35,140,90.45528564453124
36,145,90.48670120239258
37,150,90.64536819458007
38,155,90.58964462280274
39,160,90.86939239501953
40,165,90.7873764038086
41,170,90.73883438110352
42,175,90.77268600463867
43,180,90.93409652709961
44,185,90.86616287231445
45,190,90.91775741577149
46,195,90.95743865966797
47,200,91.00764541625976
48,205,91.05923995971679
49,210,91.08563385009765
50,215,91.13257522583008
51,220,91.19885787963867
52,225,91.2143180847168
53,230,91.26067428588867
54,235,91.31794357299805
55,240,91.32275390625
56,245,91.36689987182618
57,250,91.40830307006836
58,255,91.44930496215821
59,260,91.49256057739258
60,265,91.54761810302735
61,270,91.56634902954102
62,275,91.59349060058594
63,280,91.6210563659668
64,285,91.65230407714844
65,290,91.67614364624023
66,295,91.70701141357422
67,300,91.72366180419922
68,305,91.74833221435547
69,310,91.76281814575195
70,315,91.78477935791015
71,320,91.81003265380859
72,325,91.83958129882812
73,330,91.86651611328125
74,335,91.89946517944335
75,340,91.91739349365234
76,345,91.94751815795898
77,350,91.97592010498047
78,355,92.00104141235352
79,360,92.02675094604493
80,365,92.05623397827148
81,370,92.07695846557617
82,375,92.11039657592774
83,380,92.14821853637696
84,385,92.17783660888672
85,390,92.20188446044922
86,395,92.22738342285156
87,400,92.24967651367187
88,405,92.27624969482422
89,410,92.31037139892578
90,415,92.33842086791992
91,420,92.36654434204101
92,425,92.38909912109375
93,430,92.41305007934571
94,435,92.44268112182617
95,440,92.48311309814453
96,445,92.50537490844727
97,450,92.52228317260742
98,455,92.54413604736328
99,460,92.57286682128907
100,465,92.60325927734375
101,470,92.62113418579102
102,475,92.64638442993164
103,480,92.66365509033203
104,485,92.69108352661132
105,490,92.71853637695312
106,495,92.73436050415039
107,500,92.75556259155273
