,number_pca_components_class
0,5
1,8
2,9
3,9
4,9
5,10
6,10
7,8
8,8
9,9
10,9
11,9
12,7
13,4
14,5
15,10
16,9
17,10
18,7
19,7
20,8
21,8
22,6
23,3
24,10
25,10
26,10
27,9
28,10
29,9
30,10
31,10
32,10
33,9
34,9
35,9
36,8
37,8
38,8
39,9
40,10
41,10
42,10
43,9
44,8
45,6
46,5
47,10
48,9
49,9
50,9
51,9
52,10
53,10
54,9
55,8
56,8
57,9
58,9
59,10
60,8
61,9
62,10
63,9
64,9
65,8
66,9
67,10
68,9
69,10
70,8
71,7
72,8
73,10
74,10
75,9
76,9
77,10
78,8
79,9
80,9
81,6
82,9
83,10
84,8
85,8
86,8
87,8
88,9
89,10
90,10
91,10
92,9
93,8
94,9
95,7
96,7
97,9
98,9
99,9
100,9
101,6
102,10
103,8
104,8
105,9
106,9
107,9
108,7
109,9
110,9
111,8
112,9
113,10
114,9
115,7
116,7
117,8
118,7
119,8
120,10
121,7
122,9
123,10
124,6
125,8
126,9
127,9
128,8
129,9
130,9
131,11
132,7
133,6
134,9
135,11
136,10
137,7
138,10
139,9
140,10
141,9
142,9
143,7
144,10
145,7
146,7
147,9
148,5
149,9
150,10
151,10
152,9
153,8
154,6
155,9
156,9
157,7
158,9
159,10
160,10
161,10
162,8
163,10
164,9
165,7
166,7
167,8
168,10
169,10
170,8
171,9
172,9
173,6
174,9
175,10
176,9
177,6
178,6
179,9
180,11
181,7
182,7
183,9
184,6
185,9
186,4
187,5
188,6
189,8
190,6
191,5
192,4
193,8
194,5
195,7
196,5
197,7
198,6
199,9
