,acc_class
0,0.11800000071525574
1,0.11800000071525574
2,0.085999995470047
3,0.07999999821186066
4,0.12399999797344208
5,0.09600000083446503
6,0.03799999877810478
7,0.06399999558925629
8,0.029999999329447746
9,0.07800000160932541
10,0.14399999380111694
11,0.04999999701976776
12,0.10599999874830246
13,0.14800000190734863
14,0.029999999329447746
15,0.08399999886751175
16,0.0139999995008111
17,0.06599999964237213
18,0.07400000095367432
19,0.057999998331069946
20,0.03199999779462814
21,0.09399999678134918
22,0.13199999928474426
23,0.19999998807907104
24,0.02199999988079071
25,0.07400000095367432
26,0.07400000095367432
27,0.09399999678134918
28,0.11400000005960464
29,0.029999999329447746
30,0.15399999916553497
31,0.10799999535083771
32,0.06599999964237213
33,0.09200000017881393
34,0.06799999624490738
35,0.025999998673796654
36,0.07800000160932541
37,0.1119999960064888
38,0.02199999988079071
39,0.07000000029802322
40,0.05999999865889549
41,0.10999999940395355
42,0.07000000029802322
43,0.06399999558925629
44,0.13599999248981476
45,0.04999999701976776
46,0.08999999612569809
47,0.10199999809265137
48,0.06599999964237213
49,0.057999998331069946
50,0.15600000321865082
51,0.029999999329447746
52,0.06199999898672104
53,0.03199999779462814
54,0.08999999612569809
55,0.12999999523162842
56,0.15399999916553497
57,0.06399999558925629
58,0.11999999731779099
59,0.07599999755620956
60,0.10799999535083771
61,0.13599999248981476
62,0.085999995470047
63,0.07999999821186066
64,0.09600000083446503
65,0.10399999469518661
66,0.09799999743700027
67,0.029999999329447746
68,0.1379999965429306
69,0.08399999886751175
70,0.09799999743700027
71,0.11999999731779099
72,0.02199999988079071
73,0.03799999877810478
74,0.13599999248981476
75,0.07599999755620956
76,0.06599999964237213
77,0.12999999523162842
78,0.11599999666213989
79,0.041999999433755875
80,0.17799998819828033
81,0.12399999797344208
82,0.09999999403953552
83,0.057999998331069946
84,0.15399999916553497
85,0.02199999988079071
86,0.14999999105930328
87,0.04399999976158142
88,0.04399999976158142
89,0.04800000041723251
90,0.11999999731779099
91,0.03399999812245369
92,0.10399999469518661
93,0.10999999940395355
94,0.15600000321865082
95,0.11800000071525574
96,0.10599999874830246
97,0.06199999898672104
98,0.07400000095367432
99,0.0139999995008111
100,0.15600000321865082
101,0.11400000005960464
102,0.12999999523162842
103,0.11400000005960464
104,0.11999999731779099
105,0.02199999988079071
106,0.07599999755620956
107,0.11599999666213989
108,0.17000000178813934
109,0.06399999558925629
110,0.11999999731779099
111,0.10799999535083771
112,0.12600000202655792
113,0.10999999940395355
114,0.05199999734759331
115,0.1599999964237213
116,0.1599999964237213
117,0.07400000095367432
118,0.13199999928474426
119,0.08399999886751175
120,0.05199999734759331
121,0.1639999896287918
122,0.08399999886751175
123,0.10999999940395355
124,0.1899999976158142
125,0.17000000178813934
126,0.0819999948143959
127,0.0559999980032444
128,0.11999999731779099
129,0.14800000190734863
130,0.0819999948143959
131,0.07999999821186066
132,0.11800000071525574
133,0.15399999916553497
134,0.0279999990016222
135,0.11800000071525574
136,0.07599999755620956
137,0.10799999535083771
138,0.09799999743700027
139,0.1379999965429306
140,0.06599999964237213
141,0.08799999952316284
142,0.05999999865889549
143,0.09799999743700027
144,0.07000000029802322
145,0.1379999965429306
146,0.17000000178813934
147,0.07599999755620956
148,0.11800000071525574
149,0.07000000029802322
150,0.10999999940395355
151,0.08999999612569809
152,0.12399999797344208
153,0.1459999978542328
154,0.18400000035762787
155,0.07400000095367432
156,0.035999998450279236
157,0.09999999403953552
158,0.05999999865889549
159,0.07599999755620956
160,0.03799999877810478
161,0.04999999701976776
162,0.03399999812245369
163,0.12399999797344208
164,0.07999999821186066
165,0.06799999624490738
166,0.09399999678134918
167,0.14000000059604645
168,0.10399999469518661
169,0.08999999612569809
170,0.1119999960064888
171,0.11400000005960464
172,0.1119999960064888
173,0.1599999964237213
174,0.07000000029802322
175,0.04999999701976776
176,0.0279999990016222
177,0.06799999624490738
178,0.11400000005960464
179,0.08999999612569809
180,0.041999999433755875
181,0.07400000095367432
182,0.035999998450279236
183,0.09999999403953552
184,0.1340000033378601
185,0.08999999612569809
186,0.3879999816417694
187,0.20399999618530273
188,0.03199999779462814
189,0.04600000008940697
190,0.11800000071525574
191,0.12999999523162842
192,0.15600000321865082
193,0.1679999977350235
194,0.1419999897480011
195,0.12199999392032623
196,0.06199999898672104
197,0.16599999368190765
198,0.15799999237060547
199,0.11400000005960464
