,number_pca_components_class
0,23
1,25
2,30
3,31
4,29
5,34
6,34
7,33
8,29
9,32
10,31
11,34
12,29
13,22
14,32
15,34
16,35
17,35
18,27
19,33
20,29
21,32
22,27
23,18
24,33
25,34
26,35
27,35
28,35
29,34
30,34
31,33
32,34
33,35
34,33
35,33
36,29
37,31
38,32
39,30
40,34
41,33
42,33
43,32
44,25
45,26
46,32
47,34
48,34
49,35
50,31
51,32
52,31
53,37
54,35
55,31
56,33
57,34
58,31
59,35
60,30
61,30
62,33
63,35
64,35
65,31
66,35
67,38
68,31
69,35
70,25
71,29
72,36
73,35
74,32
75,36
76,38
77,33
78,28
79,38
80,38
81,26
82,28
83,31
84,33
85,33
86,31
87,32
88,38
89,36
90,25
91,34
92,37
93,29
94,23
95,33
96,33
97,33
98,34
99,37
100,35
101,31
102,38
103,25
104,34
105,31
106,35
107,29
108,30
109,32
110,34
111,25
112,29
113,35
114,34
115,23
116,27
117,36
118,30
119,33
120,34
121,29
122,36
123,33
124,20
125,35
126,25
127,34
128,27
129,31
130,34
131,34
132,32
133,22
134,33
135,35
136,33
137,33
138,31
139,37
140,31
141,34
142,34
143,31
144,36
145,25
146,28
147,35
148,30
149,37
150,35
151,33
152,34
153,24
154,28
155,35
156,35
157,31
158,38
159,36
160,37
161,35
162,33
163,31
164,32
165,29
166,20
167,28
168,38
169,30
170,30
171,36
172,36
173,29
174,34
175,37
176,28
177,27
178,26
179,32
180,33
181,29
182,30
183,32
184,24
185,36
186,22
187,24
188,32
189,27
190,30
191,21
192,24
193,26
194,27
195,33
196,30
197,31
198,26
199,30
