epoch,Train_acc_withbias,Train_acc_org_withbias,Test_acc_withbias,Train_acc_zerobias,Train_acc_org_zerobias,Test_acc_zerobias
0,11.283999999999999,11.5,11.78,11.962,12.622,12.7
1,42.564,50.112,49.35,48.182,57.062000000000005,55.400000000000006
2,50.136,58.506,56.36,55.172,64.68599999999999,61.11
4,52.832,58.67,53.580000000000005,58.818000000000005,65.28399999999999,57.97
6,52.403999999999996,55.016,47.93,60.852,63.800000000000004,54.31
8,50.71,51.178000000000004,44.45,59.404,59.955999999999996,50.7
10,61.26200000000001,60.864,50.38,67.082,66.426,54.44
12,65.686,63.56,52.73,72.786,70.00800000000001,56.510000000000005
14,65.196,61.346000000000004,48.35,71.152,66.64,51.559999999999995
16,67.41,61.144,47.44,75.088,67.496,50.51
18,67.60199999999999,61.422,46.760000000000005,75.042,67.42,50.8
20,76.904,67.686,51.800000000000004,83.636,72.94800000000001,55.05
25,81.786,71.428,53.239999999999995,87.22800000000001,75.52,55.93
30,85.568,73.528,54.559999999999995,90.584,77.198,57.18
