,pca_variance_class
0,0.9856871944666993
1,0.9815713289701304
2,0.9875727291121119
3,0.9876434190082325
4,0.9852341199232175
5,0.9849743822269974
6,0.9864786362811522
7,0.9817126192559353
8,0.9881077324416389
9,0.9860025112501032
