,number_pca_components_class
0,12
1,11
2,14
3,14
4,15
5,15
6,16
7,18
8,15
9,14
10,17
11,16
12,11
13,10
14,15
15,17
16,17
17,18
18,13
19,16
20,14
21,13
22,13
23,7
24,13
25,13
26,13
27,14
28,13
29,13
30,14
31,13
32,13
33,14
34,13
35,14
36,15
37,15
38,16
39,14
40,17
41,17
42,16
43,14
44,15
45,11
46,16
47,15
48,14
49,15
50,14
51,14
52,14
53,17
54,14
55,12
56,12
57,14
58,13
59,16
60,11
61,15
62,15
63,13
64,18
65,14
66,17
67,18
68,13
69,18
70,12
71,14
72,16
73,16
74,14
75,17
76,18
77,13
78,16
79,19
80,19
81,12
82,11
83,14
84,14
85,14
86,16
87,16
88,19
89,18
90,11
91,14
92,18
93,11
94,13
95,18
96,13
97,18
98,17
99,19
100,15
101,15
102,20
103,14
104,18
105,11
106,15
107,15
108,14
109,14
110,16
111,11
112,12
113,16
114,17
115,14
116,11
117,18
118,13
119,13
120,13
121,14
122,18
123,14
124,12
125,16
126,14
127,17
128,13
129,17
130,16
131,15
132,16
133,9
134,14
135,18
136,14
137,16
138,14
139,18
140,15
141,16
142,16
143,14
144,16
145,12
146,12
147,17
148,14
149,16
150,15
151,17
152,17
153,13
154,11
155,17
156,16
157,14
158,18
159,18
160,17
161,15
162,14
163,15
164,14
165,14
166,8
167,13
168,19
169,13
170,13
171,17
172,15
173,14
174,19
175,16
176,12
177,13
178,13
179,14
180,14
181,13
182,12
183,14
184,10
185,18
186,8
187,10
188,14
189,11
190,12
191,9
192,10
193,14
194,11
195,15
196,15
197,13
198,12
199,14
