,pca_variance_class
0,0.35374804973626406
1,0.34264751786910613
2,0.3386918398171783
3,0.3316773849263657
4,0.3384051602160806
5,0.33236798437082987
6,0.3321071069303932
7,0.33754466803638866
8,0.35354265000084784
9,0.34055026223866425
