epoch,Train_acc_zerobias,Train_acc_org_zerobias,Test_acc_zerobias
0,38.64333333333334,57.74666666666667,57.87
1,47.693333333333335,73.00166666666667,72.16
2,50.23833333333333,77.20666666666666,76.66
4,53.11833333333333,81.86166666666666,81.03
6,54.513333333333335,84.175,83.35000000000001
8,55.47666666666666,85.63499999999999,84.84
10,56.355,87.04166666666666,85.99
12,57.07833333333333,88.20833333333333,87.15
14,57.599999999999994,88.995,87.9
16,58.09833333333333,89.56833333333334,88.41
18,58.32000000000001,89.85499999999999,88.56
20,58.4,89.825,88.75999999999999
25,58.79666666666667,90.06,88.56
30,59.175,90.26333333333334,88.5
35,59.221666666666664,89.94166666666666,87.96000000000001
40,59.195,89.59666666666666,87.52
45,59.163333333333334,89.54166666666666,87.72
50,58.80333333333333,88.925,86.9
55,58.51166666666666,88.165,86.07000000000001
60,58.858333333333334,88.305,85.75
65,58.28666666666666,87.45666666666668,84.64
70,58.281666666666666,87.40333333333334,84.76
75,57.965,86.98666666666666,84.58
80,57.99666666666666,86.85166666666667,84.65
85,57.763333333333335,86.15166666666667,83.59
90,57.93833333333333,86.33666666666666,84.0
95,58.056666666666665,86.31333333333333,83.96000000000001
100,58.07,86.165,83.81
105,58.24,86.59,83.89
110,57.29333333333333,85.24000000000001,82.65
115,57.245000000000005,85.08333333333333,82.83
120,57.70166666666666,85.75500000000001,83.12
125,57.794999999999995,85.70333333333333,83.3
130,57.69499999999999,85.56,83.11
135,57.62500000000001,85.685,83.28999999999999
140,57.335,85.315,83.2
145,57.38166666666666,85.47,83.43
150,57.43333333333334,85.44333333333334,83.1
155,57.50333333333333,85.215,82.82000000000001
160,57.58,85.37166666666667,83.28
165,57.501666666666665,85.27666666666667,82.85
170,57.335,85.00333333333333,82.82000000000001
175,57.42333333333334,85.22166666666666,82.88
180,57.57,85.10166666666666,83.35000000000001
185,57.26166666666666,84.75,82.67
190,57.70833333333333,85.455,83.28
195,57.458333333333336,85.14500000000001,82.95
200,57.538333333333334,85.155,82.65
205,57.574999999999996,85.23166666666665,82.62
210,57.49666666666666,85.165,82.26
215,57.53666666666667,85.13166666666667,82.5
220,57.38666666666666,85.13333333333334,82.73
225,57.69166666666666,85.42166666666667,82.54
230,57.55833333333334,84.89166666666667,82.53
235,57.50333333333333,84.95666666666666,82.15
240,57.67,85.25833333333334,82.48
245,57.50666666666666,85.04666666666667,82.12
250,57.54833333333333,85.135,82.02000000000001
255,57.53333333333334,85.09666666666666,82.02000000000001
260,57.586666666666666,84.87833333333333,82.14
265,57.513333333333335,84.695,81.8
270,57.733333333333334,85.21166666666666,82.02000000000001
275,57.29833333333333,84.64,81.84
280,57.545,85.06166666666667,82.28999999999999
285,57.489999999999995,84.995,82.1
290,57.361666666666665,84.64500000000001,81.78
295,57.81666666666667,85.23666666666668,82.28999999999999
300,57.84,85.24833333333333,82.28
305,57.52166666666667,84.87666666666667,81.99
310,57.58333333333333,84.98,82.16
315,57.705,85.18,82.48
320,57.45666666666666,84.93,82.12
325,57.73666666666667,85.30833333333334,82.46
330,57.620000000000005,85.03,82.15
335,57.553333333333335,85.07000000000001,82.28999999999999
340,57.75,84.99333333333333,82.12
345,57.96,85.38666666666667,82.72
350,57.63333333333334,84.88,82.26
355,57.64833333333333,84.81666666666666,81.89999999999999
360,57.589999999999996,84.71166666666666,81.89
365,57.885,85.095,82.45
370,57.69499999999999,85.03666666666668,82.04
375,57.830000000000005,85.18166666666667,82.26
380,58.008333333333326,85.39166666666667,82.31
385,57.809999999999995,85.08666666666667,82.07
390,57.76,85.11666666666666,82.26
395,57.666666666666664,85.04333333333334,82.24000000000001
400,58.07,85.22333333333333,82.02000000000001
405,57.83833333333334,85.15,82.52000000000001
410,57.98833333333333,85.215,82.08
415,58.12833333333334,85.375,82.34
420,58.08166666666666,85.27166666666666,82.01
425,58.111666666666665,85.04,82.17999999999999
430,58.23500000000001,85.225,82.15
435,58.01166666666666,85.28,82.5
440,58.14833333333333,85.395,82.33
445,58.4,85.54333333333334,82.49
450,58.163333333333334,85.31333333333333,82.24000000000001
455,58.27833333333333,85.42166666666667,82.56
460,58.41499999999999,85.43833333333333,82.24000000000001
465,58.35666666666667,85.30166666666666,82.42
470,58.29666666666667,85.28666666666666,82.33
475,58.785,85.70833333333333,82.59
480,58.5,85.52166666666666,82.75
485,58.43333333333334,85.42333333333333,82.28
490,58.376666666666665,85.275,82.32000000000001
495,58.45333333333333,85.095,82.37
500,58.25666666666667,85.06166666666667,81.94
