,epoch,dot_p_b_corr,dot_p_b_org
0,0,0.014614548859571162,0.01470083788549926
1,1,0.04289641775485621,0.05107627926914469
2,2,0.06939477630415773,0.08734198444277785
3,4,0.07328353752211855,0.12956133448044266
4,6,0.07787335406520351,0.15328608219417184
5,8,0.08437407854841111,0.16511812039781495
6,10,0.08896844441411884,0.16839748919020014
7,12,0.09153264444016762,0.16591980446861843
8,14,0.09194532823958207,0.15756043623217597
9,16,0.09219943806446197,0.14799685848251384
10,18,0.09181622410566816,0.13738465138582232
11,20,0.09208252405243897,0.12784304376867864
12,25,0.09679888933664638,0.10880196005810339
13,30,0.11527144489635704,0.0945868613321187
14,35,0.134372688236468,0.08270629555493142
15,40,0.15079746561372193,0.07409205672714958
16,45,0.16467217295685047,0.06831002966718587
17,50,0.1699990024296067,0.06403837943327921
18,55,0.17231080587123757,0.06078797804527541
19,60,0.1859649173292938,0.07125420313848041
20,65,0.19029166662518976,0.06757811771372656
21,70,0.20244204301367238,0.07021772138429279
22,75,0.2177143401711612,0.06680072523292428
23,80,0.2317941452539397,0.07659830905721059
24,85,0.2393866579603448,0.07236150387782637
25,90,0.2491159620382366,0.0779384764530508
26,95,0.2588830748234192,0.07633619791657527
27,100,0.2663142997566922,0.07660917322869282
28,105,0.2681603490765365,0.07902337102962803
29,110,0.27865865678466545,0.08221673197440152
30,115,0.28422905736321324,0.0851244339281885
31,120,0.2895747061294018,0.08424565500179637
32,125,0.2963945883712335,0.0852576525437806
33,130,0.2967687761456127,0.08541366883041779
34,135,0.30287521228092684,0.09119063280874196
35,140,0.3063852395616959,0.08696847558435829
36,145,0.3088152481925373,0.08905804616096774
37,150,0.31701122691615813,0.09368686296921905
38,155,0.3152852712081231,0.08762858402782887
39,160,0.31944483701332266,0.09331591444723447
40,165,0.32568937616041715,0.09472292250628905
41,170,0.32507490439631137,0.09441913058556328
42,175,0.3306786939170339,0.0973053501745986
43,180,0.3350220660758047,0.09797895212905794
44,185,0.3317656463923593,0.10125188128219131
45,190,0.3295936116441881,0.09571277442879578
46,195,0.3275120400581314,0.09392542595043511
47,200,0.3256868147334791,0.09429314249685168
48,205,0.32033686059263816,0.0937980724603881
49,210,0.3494522746825055,0.10300885211424818
50,215,0.35753355864752495,0.10551047883149188
51,220,0.34977262341128346,0.1025010742983845
52,225,0.34808426033891693,0.10111527754302595
53,230,0.3443547304700018,0.09960343442213393
