,epoch,dot_p_b_corr,dot_p_b_org
0,0,0.006040444800671599,-0.0024647822391333034
1,1,-0.002523281760099186,-0.01226650492435659
2,2,-0.016810951813462434,0.009944418455557647
3,4,0.014624607728473994,0.03492205676258078
4,6,-0.00450536215925737,0.057605997373381616
5,8,-0.0048986054391696315,-0.01743767881925093
6,10,-0.01657877358939206,-0.07766283724401912
7,12,-0.05491195909585453,-0.0337128889660313
8,14,-0.025488732765502738,0.023002767972715145
9,16,0.03430011713128816,0.022600899243252308
10,18,0.024413875315240783,0.04011474485888069
11,20,0.07522272690513054,0.03820664035832323
12,25,0.09632306902780699,-0.06336266860499448
13,30,-0.10048478997790274,0.04795922907383901
14,35,-0.13793048762366386,0.03573475845914914
15,40,-0.0764550370842469,-0.005312876329815999
16,45,-0.16661860906349032,-0.013079367199506498
17,50,0.010863601442565757,-0.02170562498465275
18,55,-0.02386453270979538,0.0032776603878410544
19,60,-0.15911209624593478,0.017275106969788716
20,65,-0.036097757960347095,0.03496799139301934
21,70,0.056885839734457794,0.055014669291107626
22,75,0.009442082368877714,0.014229279323831907
23,80,0.0526432835048403,0.02609951823849667
24,85,0.0014076784837937174,0.016755195558478337
25,90,0.031441933292206736,0.023839388297509135
26,95,0.0597810947261649,0.04771709011731195
27,100,0.0037907482486771896,0.021325303522037677
28,105,0.009608265961932606,0.030778857247966834
29,110,-0.11557809717591093,0.01937691054037452
30,115,-0.004220532192038567,0.020249909177563197
31,120,3.2652489497275726e-05,0.05891176894707495
32,125,-0.07103033798115713,0.06903095213659145
33,130,-0.06718975878557419,0.011619165996453034
34,135,0.06640994175374755,-0.033825275095599704
35,140,-0.06562726956852091,0.029710522249817458
36,145,0.05769257753122617,0.030515818635206266
37,150,-0.07012945169474491,0.02145276941687169
38,155,-0.19867775064012358,0.026470860128342013
39,160,0.06730293855038937,0.05769481939245955
40,165,0.19916684210034816,-0.012181925352733759
41,170,0.0015409337493102748,-0.0034483735028974644
42,175,-0.06278798780220345,0.060848202873047444
43,180,0.0015335310888371701,-0.004379504795699085
44,185,0.1299126805301742,0.0043857784225100295
45,190,0.06279585422014036,-0.020495967432815877
46,195,0.27855637869881406,0.041498251703083036
47,200,0.2135292720732463,0.054163317953492954
48,205,0.21375794162351866,0.02728265456630676
49,210,0.07337897926158109,0.025752237462202277
50,215,0.13869241530283108,0.007191731141424899
51,220,0.1346388722324342,0.023745181021273723
