,number_pca_components_class
0,9
1,11
2,11
3,13
4,10
5,12
6,13
7,13
8,10
9,12
10,11
11,12
12,11
13,10
14,12
15,12
16,12
17,13
18,12
19,12
20,11
21,12
22,10
23,9
24,12
25,14
26,13
27,13
28,13
29,13
30,13
31,13
32,12
33,13
34,13
35,12
36,11
37,11
38,12
39,12
40,12
41,11
42,11
43,11
44,9
45,11
46,11
47,14
48,14
49,12
50,13
51,12
52,12
53,12
54,13
55,13
56,13
57,12
58,12
59,13
60,12
61,11
62,12
63,13
64,12
65,11
66,11
67,14
68,12
69,12
70,10
71,11
72,13
73,12
74,12
75,12
76,13
77,13
78,11
79,13
80,13
81,11
82,11
83,12
84,11
85,13
86,12
87,11
88,13
89,13
90,11
91,13
92,13
93,12
94,9
95,11
96,11
97,11
98,12
99,13
100,13
101,10
102,12
103,9
104,14
105,13
106,13
107,10
108,10
109,12
110,12
111,10
112,12
113,12
114,11
115,9
116,10
117,13
118,11
119,12
120,12
121,10
122,13
123,13
124,9
125,12
126,11
127,12
128,11
129,12
130,13
131,12
132,11
133,10
134,13
135,13
136,13
137,11
138,12
139,11
140,11
141,12
142,12
143,11
144,13
145,9
146,10
147,12
148,11
149,13
150,13
151,12
152,11
153,10
154,10
155,12
156,13
157,10
158,14
159,13
160,13
161,14
162,11
163,12
164,11
165,11
166,9
167,11
168,13
169,13
170,11
171,12
172,12
173,10
174,13
175,14
176,11
177,13
178,12
179,13
180,13
181,13
182,13
183,13
184,11
185,13
186,9
187,10
188,12
189,12
190,14
191,12
192,12
193,12
194,10
195,11
196,12
197,10
198,9
199,12
