,epoch,Train_accuracy_org
0,1,10.181999999999999
1,2,10.164
2,3,10.316
3,4,10.354
4,5,10.241999999999999
5,6,9.959999999999999
6,7,9.468
7,8,9.056000000000001
8,9,8.886
9,10,8.948
10,11,8.921999999999999
11,12,8.964
12,13,9.052
13,14,9.17
14,15,9.192
15,16,9.266
16,17,9.36
17,18,9.428
18,19,9.592
19,20,9.548
20,21,9.594
21,22,9.596
22,23,9.762
23,24,9.87
24,25,10.072000000000001
25,26,10.192
26,27,10.282
27,28,10.308
28,29,10.489999999999998
29,30,10.378
30,31,10.38
31,32,10.262
32,33,10.37
33,34,10.45
34,35,10.488
35,36,10.517999999999999
36,37,10.562000000000001
37,38,10.75
38,39,10.638
39,40,10.556000000000001
40,41,10.620000000000001
41,42,10.664
42,43,10.864
43,44,10.838000000000001
44,45,10.986
45,46,10.998
46,47,11.161999999999999
47,48,11.146
48,49,11.222
49,50,11.24
50,51,11.288
51,52,11.072
52,53,11.126
53,54,10.996
54,55,10.832
55,56,10.926
56,57,11.116
57,58,10.924
58,59,10.825999999999999
59,60,11.136
60,61,11.224
61,62,11.266
62,63,11.708
63,64,11.302
64,65,10.703999999999999
65,66,11.452
66,67,11.622
67,68,10.412
68,69,10.804
69,70,10.374
70,71,10.38
71,72,9.976
72,73,10.284
73,74,10.128
74,75,10.048
75,76,9.8
76,77,9.932
77,78,9.959999999999999
78,79,9.92
79,80,9.786
80,81,10.066
81,82,9.85
82,83,10.066
83,84,10.144
84,85,10.426
85,86,10.166
86,87,10.094
87,88,10.328
88,89,10.059999999999999
89,90,10.388
90,91,10.032
91,92,10.018
92,93,9.844
93,94,10.38
94,95,9.918000000000001
95,96,9.888
96,97,10.166
97,98,9.924
98,99,10.0
99,100,9.86
100,101,9.629999999999999
101,102,9.872
102,103,9.824
103,104,10.046
104,105,9.774
105,106,9.898
106,107,9.822000000000001
107,108,9.836
108,109,9.802
109,110,10.032
110,111,10.134
111,112,10.094
112,113,10.05
113,114,9.959999999999999
114,115,10.062
115,116,9.866
116,117,10.158000000000001
117,118,9.876
118,119,10.046
119,120,10.132
120,121,10.100000000000001
121,122,9.988
122,123,10.062
123,124,10.098
124,125,10.158000000000001
125,126,10.024
126,127,10.012
127,128,10.044
128,129,10.177999999999999
129,130,9.902
130,131,10.112
131,132,10.145999999999999
132,133,9.998
133,134,10.008000000000001
134,135,9.916
135,136,10.0
136,137,9.798
137,138,10.102
138,139,9.937999999999999
139,140,10.116
140,141,9.94
141,142,9.968
142,143,10.15
143,144,10.204
144,145,10.252
145,146,10.22
146,147,10.14
147,148,10.18
148,149,10.091999999999999
149,150,10.018
150,151,9.988
151,152,9.846
152,153,10.054
153,154,10.02
154,155,10.038
155,156,10.128
156,157,10.256
157,158,10.122
158,159,10.038
159,160,10.034
160,161,10.07
161,162,10.144
162,163,9.964
163,164,10.046
164,165,10.008000000000001
165,166,10.145999999999999
166,167,10.088
167,168,10.054
168,169,10.15
169,170,10.122
170,171,10.102
171,172,10.198
172,173,10.152
173,174,10.086
174,175,10.138
175,176,10.148
176,177,10.158000000000001
177,178,10.213999999999999
178,179,10.07
179,180,10.088
180,181,9.995999999999999
181,182,10.134
182,183,10.004
183,184,10.14
184,185,10.15
185,186,10.096
186,187,10.126
187,188,10.106
188,189,10.074
189,190,10.12
190,191,10.138
191,192,10.074
192,193,10.132
193,194,10.11
194,195,10.072000000000001
195,196,10.122
196,197,10.112
197,198,10.096
198,199,10.091999999999999
199,200,10.07
200,201,10.098
201,202,10.108
202,203,10.094
203,204,10.062
204,205,10.082
205,206,10.072000000000001
206,207,10.091999999999999
207,208,10.084
208,209,10.078
209,210,10.102
210,211,10.09
211,212,10.09
