,number_pca_components_class
0,52
1,61
2,85
3,98
4,84
5,119
6,120
7,110
8,92
9,104
10,108
11,99
12,75
13,42
14,65
15,120
16,113
17,111
18,85
19,98
20,80
21,88
22,65
23,28
24,113
25,109
26,100
27,120
28,106
29,118
30,122
31,95
32,127
33,109
34,95
35,101
36,79
37,89
38,84
39,87
40,113
41,115
42,98
43,92
44,61
45,57
46,98
47,108
48,121
49,116
50,91
51,101
52,96
53,121
54,111
55,91
56,94
57,95
58,88
59,118
60,87
61,84
62,107
63,122
64,131
65,105
66,110
67,137
68,99
69,122
70,74
71,82
72,117
73,117
74,93
75,141
76,139
77,116
78,78
79,124
80,139
81,67
82,74
83,98
84,115
85,103
86,95
87,107
88,139
89,130
90,75
91,101
92,126
93,75
94,68
95,109
96,103
97,112
98,116
99,135
100,129
101,85
102,135
103,63
104,109
105,100
106,123
107,94
108,96
109,103
110,120
111,68
112,98
113,112
114,111
115,56
116,87
117,121
118,87
119,118
120,115
121,81
122,123
123,116
124,48
125,118
126,70
127,129
128,77
129,93
130,118
131,130
132,100
133,55
134,106
135,123
136,117
137,109
138,107
139,133
140,100
141,127
142,121
143,86
144,132
145,59
146,82
147,135
148,97
149,128
150,134
151,113
152,96
153,73
154,81
155,125
156,132
157,101
158,127
159,126
160,138
161,124
162,106
163,93
164,102
165,78
166,47
167,76
168,138
169,91
170,90
171,118
172,133
173,86
174,117
175,131
176,78
177,79
178,75
179,104
180,104
181,92
182,78
183,79
184,55
185,111
186,52
187,47
188,83
189,74
190,90
191,54
192,61
193,81
194,72
195,98
196,66
197,93
198,80
199,83
