epoch,Train_acc_withbias,Train_acc_org_withbias,Test_acc_withbias,Train_acc_zerobias,Train_acc_org_zerobias,Test_acc_zerobias
0,11.256,11.264000000000001,11.58,12.978000000000002,12.97,12.879999999999999
1,54.535999999999994,54.538,52.59,57.542,57.542,55.06999999999999
2,65.44200000000001,65.448,60.67,68.866,68.864,63.14999999999999
4,69.95599999999999,69.95400000000001,61.35,73.30600000000001,73.29599999999999,63.43
6,79.402,79.396,67.11,81.322,81.326,67.9
8,82.27799999999999,82.274,67.14,83.498,83.5,67.69
10,83.662,83.672,67.25,85.526,85.53,68.02
12,85.5,85.5,67.85,86.72999999999999,86.734,68.27
14,90.35,90.35600000000001,70.48,91.458,91.464,70.72
16,92.682,92.686,71.89999999999999,93.536,93.542,72.15
