,number_pca_components_class
0,66
1,58
2,60
3,49
4,81
5,59
6,85
7,77
8,63
9,62
10,87
11,56
12,48
13,71
14,80
15,81
16,93
17,115
18,90
19,84
20,50
21,55
22,48
23,59
24,52
25,59
26,66
27,62
28,56
29,63
30,73
31,53
32,58
33,75
34,54
35,57
36,64
37,60
38,77
39,65
40,98
41,79
42,59
43,60
44,67
45,47
46,90
47,59
48,54
49,62
50,51
51,52
52,58
53,63
54,62
55,61
56,55
57,54
58,66
59,75
60,41
61,56
62,63
63,64
64,91
65,52
66,72
67,99
68,56
69,76
70,56
71,69
72,92
73,81
74,61
75,78
76,80
77,53
78,78
79,94
80,88
81,58
82,59
83,62
84,64
85,76
86,54
87,65
88,81
89,96
90,77
91,69
92,64
93,60
94,59
95,61
96,79
97,59
98,89
99,82
100,59
101,63
102,94
103,73
104,70
105,45
106,60
107,82
108,63
109,69
110,56
111,49
112,54
113,73
114,82
115,65
116,43
117,76
118,78
119,56
120,57
121,58
122,84
123,45
124,57
125,69
126,57
127,66
128,51
129,71
130,69
131,78
132,74
133,41
134,86
135,90
136,64
137,79
138,64
139,74
140,68
141,76
142,87
143,56
144,83
145,55
146,56
147,58
148,80
149,76
150,59
151,73
152,89
153,68
154,57
155,81
156,59
157,73
158,76
159,81
160,92
161,62
162,49
163,71
164,73
165,54
166,46
167,62
168,103
169,61
170,49
171,69
172,84
173,60
174,82
175,90
176,49
177,63
178,50
179,56
180,51
181,51
182,68
183,62
184,61
185,81
186,59
187,57
188,65
189,80
190,63
191,44
192,54
193,56
194,57
195,72
196,87
197,66
198,63
199,68
