,number_pca_components_class
0,9
1,8
2,8
3,9
4,8
5,9
6,9
7,9
8,9
9,8
10,9
11,8
12,8
13,8
14,9
15,9
16,9
17,9
18,9
19,9
20,8
21,10
22,9
23,7
24,9
25,9
26,9
27,9
28,9
29,9
30,9
31,9
32,9
33,9
34,8
35,9
36,9
37,9
38,9
39,9
40,9
41,9
42,9
43,9
44,8
45,8
46,9
47,10
48,9
49,9
50,9
51,8
52,9
53,9
54,9
55,9
56,8
57,8
58,8
59,10
60,9
61,8
62,10
63,10
64,9
65,8
66,9
67,10
68,8
69,10
70,8
71,9
72,10
73,9
74,10
75,9
76,9
77,10
78,9
79,10
80,10
81,8
82,8
83,10
84,8
85,10
86,9
87,9
88,10
89,10
90,8
91,9
92,9
93,8
94,9
95,9
96,9
97,9
98,9
99,10
100,10
101,9
102,10
103,8
104,10
105,9
106,10
107,8
108,9
109,10
110,10
111,7
112,8
113,10
114,9
115,8
116,8
117,10
118,9
119,9
120,10
121,9
122,10
123,10
124,9
125,10
126,8
127,10
128,9
129,9
130,10
131,10
132,9
133,7
134,10
135,10
136,9
137,9
138,10
139,9
140,9
141,10
142,9
143,8
144,10
145,8
146,8
147,9
148,8
149,10
150,10
151,10
152,9
153,9
154,8
155,10
156,10
157,9
158,10
159,10
160,10
161,10
162,9
163,10
164,8
165,8
166,8
167,9
168,10
169,10
170,9
171,9
172,10
173,9
174,10
175,10
176,8
177,9
178,9
179,10
180,10
181,9
182,9
183,9
184,9
185,9
186,9
187,9
188,9
189,9
190,9
191,9
192,9
193,10
194,9
195,9
196,9
197,9
198,9
199,9
