,number_pca_components_class
0,12
1,19
2,19
3,22
4,21
5,22
6,24
7,22
8,23
9,21
10,25
11,21
12,19
13,9
14,16
15,24
16,25
17,24
18,19
19,21
20,21
21,22
22,20
23,9
24,22
25,21
26,22
27,23
28,21
29,22
30,22
31,23
32,22
33,21
34,21
35,21
36,20
37,22
38,22
39,22
40,25
41,25
42,23
43,22
44,18
45,14
46,19
47,22
48,21
49,21
50,21
51,22
52,22
53,22
54,22
55,20
56,21
57,20
58,21
59,23
60,16
61,19
62,22
63,20
64,24
65,20
66,22
67,26
68,18
69,24
70,16
71,20
72,23
73,23
74,22
75,21
76,23
77,19
78,23
79,25
80,24
81,20
82,18
83,19
84,20
85,24
86,20
87,21
88,26
89,25
90,15
91,22
92,22
93,19
94,17
95,21
96,22
97,20
98,21
99,25
100,23
101,18
102,25
103,18
104,22
105,19
106,22
107,20
108,19
109,21
110,22
111,17
112,17
113,23
114,23
115,18
116,17
117,23
118,20
119,19
120,21
121,18
122,25
123,22
124,19
125,22
126,20
127,22
128,18
129,22
130,23
131,23
132,21
133,14
134,23
135,21
136,22
137,22
138,19
139,23
140,22
141,25
142,21
143,20
144,26
145,18
146,18
147,22
148,16
149,23
150,21
151,24
152,24
153,16
154,18
155,24
156,22
157,21
158,25
159,25
160,26
161,23
162,21
163,19
164,20
165,19
166,16
167,19
168,24
169,21
170,20
171,22
172,24
173,18
174,23
175,24
176,19
177,21
178,19
179,20
180,21
181,20
182,19
183,19
184,15
185,23
186,14
187,13
188,18
189,16
190,19
191,16
192,17
193,20
194,17
195,21
196,15
197,20
198,18
199,22
