,number_pca_components_class
0,70
1,64
2,86
3,93
4,92
5,122
6,110
7,116
8,94
9,103
10,117
11,114
12,79
13,59
14,73
15,121
16,126
17,126
18,98
19,107
20,81
21,105
22,76
23,34
24,124
25,114
26,109
27,120
28,108
29,117
30,123
31,92
32,126
33,111
34,88
35,88
36,89
37,96
38,97
39,96
40,121
41,119
42,115
43,104
44,53
45,58
46,109
47,113
48,106
49,106
50,64
51,91
52,84
53,108
54,108
55,83
56,81
57,68
58,93
59,135
60,103
61,87
62,114
63,136
64,148
65,123
66,108
67,148
68,107
69,122
70,60
71,86
72,133
73,142
74,111
75,148
76,154
77,122
78,69
79,147
80,160
81,58
82,80
83,120
84,117
85,103
86,107
87,100
88,158
89,129
90,105
91,95
92,136
93,85
94,64
95,119
96,104
97,122
98,129
99,153
100,148
101,95
102,151
103,51
104,112
105,102
106,133
107,97
108,109
109,127
110,122
111,85
112,112
113,137
114,124
115,61
116,72
117,138
118,80
119,124
120,126
121,80
122,142
123,124
124,50
125,141
126,70
127,140
128,90
129,102
130,138
131,146
132,114
133,44
134,114
135,148
136,125
137,120
138,125
139,147
140,112
141,132
142,141
143,89
144,145
145,61
146,90
147,150
148,106
149,146
150,144
151,120
152,103
153,67
154,87
155,130
156,139
157,105
158,146
159,149
160,144
161,143
162,97
163,119
164,111
165,76
166,43
167,87
168,165
169,99
170,86
171,137
172,141
173,86
174,118
175,143
176,91
177,78
178,68
179,112
180,125
181,95
182,70
183,76
184,61
185,135
186,56
187,51
188,102
189,84
190,82
191,41
192,46
193,77
194,69
195,97
196,83
197,99
198,76
199,89
