,pca_variance_class
0,0.26083442812480284
1,0.154601612651905
2,0.17852439035154508
3,0.1882489132430092
4,0.18045500662732197
5,0.24539482416107058
6,0.21853846584828376
7,0.13961743234429289
8,0.18599500029509627
9,0.13104369862260523
