epoch,Train_accuracy,Train_accuracy_org,Test_accuracy
11,26.208333333333332,93.74333333333334,94.07
12,26.74666666666667,95.15833333333333,95.50999999999999
13,26.979999999999997,92.04333333333334,92.47
14,27.058333333333334,94.75666666666666,94.81
15,27.186666666666664,91.93,92.33
16,27.158333333333335,93.02,93.32000000000001
17,27.231666666666666,94.85833333333333,95.19999999999999
18,27.211666666666666,94.255,94.62
19,27.32,93.92833333333334,94.37
20,27.328333333333333,92.9,93.13
21,27.276666666666667,94.505,94.85
22,27.291666666666664,94.59833333333333,94.74000000000001
23,27.353333333333335,92.56666666666666,92.71000000000001
24,27.30166666666667,94.14333333333333,94.58
25,27.421666666666667,93.78166666666667,94.14
26,27.455000000000002,93.475,93.78
27,27.485,92.825,93.07
28,27.544999999999998,92.295,92.81
29,27.441666666666663,93.36166666666666,93.69
30,27.418333333333333,93.99833333333333,94.08999999999999
31,27.311666666666667,92.86333333333333,92.95
32,27.408333333333335,91.80166666666668,92.38
33,27.38,93.03,93.38
34,27.398333333333337,92.83666666666667,92.85
35,27.474999999999998,92.13166666666666,92.94
36,27.553333333333335,93.52833333333334,93.78999999999999
37,27.563333333333333,92.545,93.14
38,27.668333333333333,92.155,92.25999999999999
39,27.571666666666665,90.76666666666667,91.0
40,27.526666666666667,88.12666666666667,88.36
41,27.565,91.365,91.47999999999999
42,27.703333333333337,92.15166666666667,92.77
43,27.69666666666667,91.08000000000001,91.53999999999999
44,27.706666666666667,89.60000000000001,89.97
45,27.586666666666666,87.56166666666667,88.58
46,27.71,91.22666666666667,91.67999999999999
47,27.723333333333333,91.17166666666667,91.13
48,27.735,88.85166666666666,88.99000000000001
49,27.756666666666668,90.41666666666667,91.31
50,27.903333333333336,91.10166666666667,91.06
51,27.88,90.015,90.14
52,27.955000000000002,89.74666666666667,90.36999999999999
53,27.916666666666668,89.71000000000001,89.61
54,28.068333333333335,88.79833333333333,89.11
55,28.186666666666664,88.88833333333334,89.05
56,28.201666666666668,89.72666666666666,89.99000000000001
57,28.263333333333335,89.825,89.92999999999999
58,28.321666666666665,88.32166666666666,88.78
59,28.325,86.64,86.85000000000001
60,28.601666666666663,88.11166666666666,89.14
61,28.64333333333333,87.115,87.42
62,28.549999999999997,86.88166666666667,87.26
63,28.69333333333333,87.69833333333334,87.92999999999999
64,28.79,85.19,86.52
65,28.831666666666667,84.52833333333334,85.57000000000001
66,28.970000000000002,84.94666666666667,85.82
67,28.93,86.39666666666666,86.96000000000001
68,28.85333333333333,85.725,86.29
69,29.076666666666668,82.965,83.48
70,29.171666666666667,85.44666666666667,85.72999999999999
71,29.361666666666668,81.50500000000001,81.86
72,29.381666666666668,81.33500000000001,81.74
73,29.348333333333333,80.31166666666667,81.11
74,29.288333333333334,83.06833333333333,83.5
75,29.459999999999997,78.69166666666668,78.72
76,29.544999999999998,81.33833333333334,82.35
77,29.763333333333335,80.35,81.08999999999999
78,29.708333333333332,80.43166666666667,80.5
79,29.638333333333332,81.315,81.67
80,29.74,77.35,77.66999999999999
81,29.513333333333335,77.91166666666666,78.35
82,29.744999999999997,77.285,78.39
83,29.916666666666668,76.46333333333334,77.49000000000001
84,29.811666666666664,75.94999999999999,76.47
85,30.06,74.18,75.18
86,30.05833333333333,77.16666666666666,77.8
87,30.005,73.30333333333333,74.14
88,30.056666666666665,72.35000000000001,73.4
89,29.90833333333333,75.235,76.4
90,30.118333333333336,75.44833333333332,76.42999999999999
91,30.11666666666667,71.83166666666668,72.28
92,30.42166666666667,73.01166666666667,73.61999999999999
93,30.27166666666667,72.15166666666667,73.25
94,30.47666666666667,75.38833333333334,76.03
95,30.461666666666666,67.29666666666667,68.32000000000001
96,30.595,72.89999999999999,73.42999999999999
97,30.648333333333333,69.43333333333334,70.08
98,30.791666666666668,74.0,74.22
99,30.843333333333334,67.87333333333333,67.86
100,30.903333333333332,67.80333333333334,69.55
