,pca_variance_class
0,0.9970073489770449
1,0.9974208453398771
2,0.9965280917533591
3,0.9974987774785412
4,0.9971289128202805
5,0.9973559059321463
6,0.996515158658408
7,0.9978381197131652
8,0.9978829921690908
9,0.9975388772121825
