Epoch,Correct,Total,Accuracy
10,56937,60000,0.9489
11,57545,60000,0.9591
12,57749,60000,0.9625
13,58056,60000,0.9676
14,58487,60000,0.9748
15,57143,60000,0.9524
16,58720,60000,0.9787
17,58775,60000,0.9796
18,58498,60000,0.975
19,59022,60000,0.9837
20,58901,60000,0.9817
21,59191,60000,0.9865
22,59112,60000,0.9852
23,59310,60000,0.9885
24,58766,60000,0.9794
25,59432,60000,0.9905
26,59321,60000,0.9887
27,59415,60000,0.9902
28,59355,60000,0.9892
29,59270,60000,0.9878
30,59611,60000,0.9935
31,59439,60000,0.9907
32,59627,60000,0.9938
33,59347,60000,0.9891
34,59505,60000,0.9918
35,59071,60000,0.9845
36,59681,60000,0.9947
37,59510,60000,0.9918
38,58490,60000,0.9748
39,59672,60000,0.9945
40,59556,60000,0.9926
41,59625,60000,0.9938
42,59778,60000,0.9963
43,59400,60000,0.99
44,58975,60000,0.9829
45,59843,60000,0.9974
46,59724,60000,0.9954
47,59786,60000,0.9964
48,59473,60000,0.9912
49,59690,60000,0.9948
50,59714,60000,0.9952
51,59626,60000,0.9938
52,59584,60000,0.9931
53,59785,60000,0.9964
54,59616,60000,0.9936
55,59553,60000,0.9926
56,59855,60000,0.9976
57,59601,60000,0.9933
58,59699,60000,0.995
59,59649,60000,0.9941
60,59722,60000,0.9954
61,59574,60000,0.9929
62,59742,60000,0.9957
63,59551,60000,0.9925
64,59757,60000,0.996
65,59660,60000,0.9943
66,59524,60000,0.9921
67,59789,60000,0.9965
68,59539,60000,0.9923
69,59347,60000,0.9891
70,59714,60000,0.9952
71,59802,60000,0.9967
72,59347,60000,0.9891
73,59740,60000,0.9957
74,59417,60000,0.9903
75,59332,60000,0.9889
76,59444,60000,0.9907
77,59583,60000,0.993
78,57881,60000,0.9647
79,58734,60000,0.9789
80,58016,60000,0.9669
81,59478,60000,0.9913
82,59572,60000,0.9929
83,59465,60000,0.9911
84,58679,60000,0.978
85,59248,60000,0.9875
86,58582,60000,0.9764
87,56804,60000,0.9467
88,58305,60000,0.9718
89,56540,60000,0.9423
90,57879,60000,0.9647
91,56212,60000,0.9369
92,6265,60000,0.1044
93,6265,60000,0.1044
94,6265,60000,0.1044
95,6265,60000,0.1044
96,6265,60000,0.1044
97,6265,60000,0.1044
98,6265,60000,0.1044
99,6265,60000,0.1044
