,acc_class
0,0.386
1,0.338
2,0.344
3,0.158
4,0.358
5,0.14
6,0.296
7,0.114
8,0.344
9,0.278
10,0.172
11,0.21
12,0.35
13,0.43
14,0.362
15,0.082
16,0.106
17,0.228
18,0.328
19,0.3
20,0.202
21,0.306
22,0.308
23,0.5
24,0.12
25,0.22
26,0.284
27,0.082
28,0.248
29,0.17
30,0.184
31,0.306
32,0.168
33,0.126
34,0.246
35,0.228
36,0.296
37,0.206
38,0.292
39,0.138
40,0.19
41,0.312
42,0.19
43,0.26
44,0.542
45,0.262
46,0.144
47,0.254
48,0.156
49,0.226
50,0.362
51,0.206
52,0.246
53,0.318
54,0.168
55,0.388
56,0.16
57,0.35
58,0.362
59,0.18
60,0.274
61,0.342
62,0.168
63,0.214
64,0.096
65,0.198
66,0.282
67,0.22
68,0.308
69,0.296
70,0.17
71,0.318
72,0.158
73,0.192
74,0.252
75,0.244
76,0.15
77,0.154
78,0.46
79,0.152
80,0.132
81,0.508
82,0.32
83,0.22
84,0.31
85,0.232
86,0.202
87,0.28
88,0.06
89,0.38
90,0.2
91,0.294
92,0.216
93,0.286
94,0.252
95,0.264
96,0.268
97,0.344
98,0.352
99,0.18
100,0.104
101,0.27
102,0.182
103,0.498
104,0.272
105,0.242
106,0.182
107,0.386
108,0.254
109,0.16
110,0.246
111,0.33
112,0.152
113,0.274
114,0.34
115,0.41
116,0.264
117,0.354
118,0.358
119,0.202
120,0.146
121,0.278
122,0.15
123,0.198
124,0.352
125,0.082
126,0.242
127,0.186
128,0.278
129,0.238
130,0.158
131,0.05
132,0.182
133,0.336
134,0.296
135,0.098
136,0.126
137,0.166
138,0.1
139,0.164
140,0.196
141,0.106
142,0.118
143,0.49
144,0.178
145,0.512
146,0.306
147,0.242
148,0.354
149,0.156
150,0.27
151,0.172
152,0.31
153,0.192
154,0.26
155,0.288
156,0.222
157,0.174
158,0.244
159,0.098
160,0.194
161,0.096
162,0.258
163,0.244
164,0.304
165,0.462
166,0.3
167,0.2
168,0.178
169,0.214
170,0.264
171,0.236
172,0.176
173,0.282
174,0.248
175,0.092
176,0.4
177,0.26
178,0.372
179,0.172
180,0.144
181,0.224
182,0.242
183,0.384
184,0.224
185,0.232
186,0.37
187,0.32
188,0.356
189,0.318
190,0.316
191,0.344
192,0.242
193,0.354
194,0.36
195,0.262
196,0.326
197,0.216
198,0.322
199,0.236
