,number_pca_components_class
0,6
1,10
2,10
3,9
4,10
5,10
6,10
7,9
8,9
9,9
10,10
11,10
12,9
13,6
14,8
15,9
16,9
17,9
18,8
19,9
20,9
21,9
22,8
23,6
24,9
25,9
26,9
27,9
28,10
29,9
30,9
31,9
32,9
33,10
34,9
35,10
36,8
37,9
38,8
39,9
40,9
41,9
42,9
43,9
44,9
45,7
46,8
47,9
48,10
49,10
50,10
51,10
52,10
53,10
54,10
55,9
56,10
57,10
58,10
59,9
60,8
61,9
62,9
63,9
64,9
65,9
66,9
67,9
68,9
69,9
70,9
71,8
72,8
73,9
74,9
75,10
76,9
77,9
78,10
79,9
80,9
81,9
82,9
83,8
84,9
85,8
86,9
87,10
88,9
89,9
90,8
91,10
92,10
93,9
94,9
95,9
96,9
97,10
98,10
99,9
100,9
101,8
102,9
103,9
104,9
105,9
106,9
107,10
108,9
109,9
110,9
111,9
112,8
113,8
114,10
115,9
116,9
117,9
118,9
119,9
120,9
121,9
122,9
123,9
124,7
125,9
126,9
127,9
128,9
129,10
130,8
131,9
132,8
133,8
134,9
135,9
136,9
137,8
138,8
139,9
140,9
141,9
142,9
143,9
144,9
145,10
146,9
147,9
148,7
149,9
150,9
151,9
152,9
153,10
154,8
155,9
156,9
157,8
158,9
159,9
160,9
161,9
162,10
163,8
164,10
165,9
166,8
167,9
168,9
169,9
170,9
171,9
172,9
173,8
174,9
175,9
176,9
177,8
178,8
179,9
180,8
181,8
182,7
183,8
184,6
185,9
186,6
187,6
188,7
189,7
190,8
191,8
192,7
193,8
194,7
195,9
196,8
197,8
198,7
199,8
