,number_pca_components_class
0,9
1,11
2,12
3,13
4,13
5,14
6,14
7,14
8,14
9,14
10,13
11,14
12,13
13,8
14,12
15,13
16,13
17,14
18,11
19,13
20,13
21,14
22,12
23,8
24,14
25,14
26,14
27,14
28,14
29,14
30,14
31,14
32,14
33,15
34,14
35,14
36,12
37,11
38,12
39,12
40,13
41,14
42,13
43,12
44,11
45,10
46,13
47,14
48,14
49,14
50,14
51,14
52,14
53,14
54,14
55,14
56,14
57,14
58,14
59,13
60,12
61,13
62,13
63,13
64,13
65,13
66,12
67,14
68,13
69,13
70,11
71,11
72,13
73,13
74,14
75,13
76,14
77,13
78,13
79,14
80,14
81,12
82,11
83,12
84,12
85,13
86,14
87,13
88,14
89,14
90,12
91,14
92,14
93,12
94,10
95,11
96,12
97,13
98,14
99,14
100,14
101,11
102,14
103,11
104,13
105,13
106,14
107,13
108,12
109,13
110,13
111,11
112,12
113,13
114,12
115,10
116,11
117,14
118,12
119,13
120,13
121,11
122,14
123,14
124,10
125,13
126,13
127,13
128,12
129,13
130,13
131,14
132,12
133,10
134,13
135,13
136,14
137,11
138,13
139,13
140,13
141,13
142,13
143,13
144,14
145,10
146,11
147,14
148,11
149,14
150,14
151,13
152,13
153,11
154,10
155,14
156,14
157,11
158,14
159,14
160,14
161,14
162,12
163,13
164,12
165,12
166,9
167,12
168,14
169,13
170,11
171,13
172,13
173,11
174,13
175,13
176,12
177,12
178,11
179,14
180,13
181,12
182,12
183,12
184,10
185,14
186,9
187,9
188,11
189,11
190,12
191,11
192,11
193,13
194,10
195,11
196,12
197,10
198,9
199,12
