,acc_class
0,0.9646999835968018
1,0.9845999479293823
2,0.810699999332428
3,0.8363999724388123
4,0.8815000057220459
5,0.8363999724388123
6,0.9424999952316284
7,0.8872999548912048
8,0.8476999998092651
9,0.885699987411499
