epoch,Train_accuracy,Train_accuracy_org,Test_accuracy
41,41.03,87.9,87.96000000000001
42,43.03333333333333,89.765,89.45
43,43.62333333333333,92.245,91.84
44,43.95,91.77,91.62
45,44.13,89.66166666666666,89.4
46,44.379999999999995,87.25500000000001,87.18
47,44.51833333333333,89.99333333333334,90.14999999999999
48,44.60166666666667,87.40666666666667,86.92999999999999
49,44.705,89.31666666666666,89.25999999999999
50,44.82,88.235,87.86
51,44.961666666666666,86.82,86.49
52,45.05833333333334,85.43833333333333,84.74000000000001
53,44.940000000000005,83.39166666666667,83.36
54,44.9,81.75333333333333,81.45
55,44.45666666666666,77.68166666666667,77.61
56,44.435,78.21833333333333,78.34
57,43.781666666666666,78.76833333333333,78.31
58,43.69833333333333,76.13,75.5
59,43.27333333333333,76.20666666666666,76.24
60,43.085,73.91499999999999,73.05
61,42.553333333333335,76.89,76.11
62,42.32,73.80666666666667,72.49
63,42.115,76.69666666666667,76.22
64,42.04833333333333,76.11,75.44999999999999
65,41.571666666666665,75.51833333333333,74.46000000000001
66,41.925000000000004,75.035,74.68
67,41.74,75.69833333333334,74.76
68,41.40333333333333,73.93333333333332,73.19
69,41.266666666666666,74.33,74.08
70,41.25,76.13666666666667,75.81
71,41.56166666666667,76.19333333333333,76.19
72,41.68833333333333,75.91499999999999,76.18
73,41.89333333333333,73.07833333333333,72.48
74,41.876666666666665,75.46166666666667,75.05
75,41.718333333333334,76.62166666666667,76.33
76,41.791666666666664,78.97333333333333,78.94
77,41.88333333333333,74.05000000000001,73.92999999999999
78,41.79333333333333,79.38166666666666,79.23
79,41.748333333333335,77.58500000000001,76.96
80,41.10333333333333,77.24666666666667,77.25
81,41.233333333333334,77.825,78.08
82,41.733333333333334,80.56333333333333,80.38
83,41.53,75.595,75.52
84,41.483333333333334,76.535,76.47
85,41.225,76.92166666666667,76.63
86,41.70833333333333,71.81166666666667,71.59
87,41.735,79.79666666666667,79.21000000000001
88,41.87833333333334,77.7,77.27000000000001
89,41.78333333333333,79.52833333333334,78.55
90,41.75,82.62833333333333,82.56
91,42.40333333333333,76.73833333333333,76.68
92,42.126666666666665,79.87333333333333,79.49000000000001
93,41.84166666666667,79.47,78.66
94,41.55833333333334,75.88666666666667,75.42
95,41.39,75.81833333333333,75.33999999999999
96,41.765,79.73333333333333,79.39
97,41.891666666666666,80.03666666666666,80.0
98,42.211666666666666,77.47333333333334,77.34
99,42.07,80.56666666666666,79.74
100,41.03333333333333,76.65833333333333,76.99000000000001
