epoch,Train_accuracy,Train_accuracy_org,Test_accuracy
41,55.97333333333333,87.12,86.33
42,57.32666666666667,88.90166666666667,87.78
43,57.77833333333333,89.20166666666667,88.28
44,58.245000000000005,89.52,88.56
45,58.68,90.51666666666667,89.12
46,58.873333333333335,90.95166666666667,89.51
47,58.9,90.86666666666666,89.34
48,58.848333333333336,90.46166666666666,89.27000000000001
49,58.91833333333333,90.46833333333333,89.13
50,58.88166666666667,90.47333333333333,89.11
51,58.968333333333334,90.485,88.83
52,59.05666666666667,90.83333333333333,89.11
53,58.87833333333333,90.61,88.91
54,58.67166666666667,86.91666666666666,85.28999999999999
55,58.73166666666667,90.39500000000001,88.71
56,58.778333333333336,90.63333333333333,88.97
57,58.72500000000001,90.50833333333334,88.92
58,58.72500000000001,91.08166666666668,89.45
59,58.77333333333333,88.94666666666666,87.27000000000001
60,58.54333333333334,89.76333333333332,88.16000000000001
61,58.48,90.48,88.64
62,58.394999999999996,90.40333333333334,88.48
63,58.47,89.42166666666667,87.68
64,58.585,89.11833333333334,87.4
65,58.486666666666665,89.84333333333333,87.72999999999999
66,58.41,89.80666666666667,88.48
67,58.309999999999995,90.75166666666667,88.99000000000001
68,58.471666666666664,90.17833333333334,88.62
69,58.550000000000004,90.9,89.08
70,58.47666666666667,90.42166666666667,88.77000000000001
71,58.489999999999995,88.55499999999999,87.2
72,58.355000000000004,90.495,89.19
73,58.25333333333334,90.01333333333334,88.51
74,58.25,89.14333333333333,88.1
75,57.98,88.86333333333334,87.55
76,57.94833333333334,89.80166666666666,88.18
77,58.07666666666667,90.78833333333334,88.71
78,57.968333333333334,90.48333333333333,88.7
79,58.10833333333333,90.33666666666666,88.53
80,58.315,87.01,85.55
81,58.166666666666664,89.375,87.83
82,58.123333333333335,89.63666666666667,87.87
83,58.08,88.62666666666667,87.57000000000001
84,58.07666666666667,89.995,87.75
85,58.045,89.49333333333334,87.92999999999999
86,58.375,90.22166666666666,88.19
87,58.12166666666667,88.20833333333333,86.71
88,57.82333333333334,87.76833333333333,86.61999999999999
89,57.80333333333333,89.865,88.09
90,57.67,89.85499999999999,88.31
91,57.65833333333333,85.80166666666666,84.0
92,57.68333333333333,88.84166666666667,87.53
93,57.70166666666666,89.82166666666667,88.64999999999999
94,57.10833333333334,89.27666666666667,87.85
95,57.276666666666664,87.28833333333334,86.2
96,57.64333333333334,90.07166666666667,88.32
97,57.696666666666665,88.67333333333333,87.42
98,57.18666666666666,88.35333333333332,86.9
99,57.443333333333335,89.10333333333334,87.76
100,57.294999999999995,88.18666666666667,86.82
