,acc_class
0,0.1553
1,0.2133
2,0.1043
3,0.0304
4,0.1438
5,0.0265
6,0.0
7,0.002
8,0.0736
9,0.0535
10,0.0158
11,0.0217
12,0.0947
13,0.1481
14,0.0938
15,0.012
16,0.0
17,0.0275
18,0.1523
19,0.0082
20,0.0239
21,0.1109
22,0.0765
23,0.1013
24,0.0163
25,0.0195
26,0.0941
27,0.008
28,0.064
29,0.0039
30,0.002
31,0.078
32,0.0551
33,0.0396
34,0.1479
35,0.0021
36,0.0376
37,0.0039
38,0.0115
39,0.0519
40,0.0102
41,0.0209
42,0.0256
43,0.0526
44,0.1077
45,0.0987
46,0.0122
47,0.0519
48,0.0102
49,0.054
50,0.0343
51,0.0061
52,0.1863
53,0.1047
54,0.0118
55,0.0939
56,0.0163
57,0.0539
58,0.0869
59,0.0397
60,0.1263
61,0.0394
62,0.0
63,0.0475
64,0.0095
65,0.029
66,0.0743
67,0.004
68,0.0632
69,0.0789
70,0.0438
71,0.0346
72,0.0139
73,0.0117
74,0.063
75,0.0828
76,0.0
77,0.0364
78,0.1107
79,0.0196
80,0.0019
81,0.0473
82,0.1483
83,0.0528
84,0.0199
85,0.0
86,0.0408
87,0.0372
88,0.0
89,0.0249
90,0.0671
91,0.0301
92,0.004
93,0.0863
94,0.0581
95,0.0107
96,0.048
97,0.0707
98,0.0324
99,0.0146
100,0.0081
101,0.0827
102,0.002
103,0.1822
104,0.0356
105,0.0747
106,0.0229
107,0.1278
108,0.0058
109,0.0021
110,0.0419
111,0.1694
112,0.0
113,0.0057
114,0.0421
115,0.1941
116,0.0299
117,0.0378
118,0.051
119,0.0021
120,0.0146
121,0.1235
122,0.0062
123,0.0248
124,0.1079
125,0.0042
126,0.0339
127,0.0353
128,0.1367
129,0.0038
130,0.0099
131,0.0
132,0.0058
133,0.1355
134,0.0141
135,0.0
136,0.0041
137,0.0398
138,0.0152
139,0.0384
140,0.0083
141,0.0297
142,0.0122
143,0.0851
144,0.004
145,0.251
146,0.071
147,0.004
148,0.1167
149,0.0
150,0.0123
151,0.0059
152,0.0352
153,0.0932
154,0.0428
155,0.0139
156,0.0123
157,0.0209
158,0.0
159,0.0078
160,0.0059
161,0.0019
162,0.0579
163,0.0376
164,0.0671
165,0.0733
166,0.1292
167,0.0395
168,0.0262
169,0.008
170,0.0664
171,0.0314
172,0.0
173,0.0377
174,0.0351
175,0.0019
176,0.0988
177,0.0621
178,0.0809
179,0.0352
180,0.0593
181,0.0857
182,0.0264
183,0.1625
184,0.0488
185,0.0188
186,0.2725
187,0.2058
188,0.0306
189,0.0955
190,0.0126
191,0.1886
192,0.1631
193,0.0516
194,0.0527
195,0.0382
196,0.0434
197,0.0596
198,0.1201
199,0.0183
