,number_pca_components_class
0,151
1,145
2,161
3,165
4,159
5,190
6,194
7,196
8,172
9,159
10,206
11,177
12,128
13,150
14,176
15,199
16,208
17,211
18,178
19,193
20,150
21,161
22,133
23,105
24,189
25,168
26,173
27,183
28,160
29,180
30,169
31,162
32,175
33,158
34,149
35,138
36,162
37,173
38,182
39,175
40,203
41,182
42,197
43,189
44,138
45,145
46,198
47,189
48,171
49,141
50,119
51,147
52,149
53,154
54,166
55,153
56,137
57,124
58,142
59,230
60,174
61,164
62,192
63,198
64,231
65,186
66,176
67,222
68,172
69,192
70,142
71,179
72,214
73,228
74,181
75,200
76,241
77,179
78,148
79,246
80,238
81,126
82,158
83,200
84,163
85,180
86,174
87,167
88,241
89,216
90,186
91,163
92,201
93,166
94,147
95,203
96,178
97,180
98,187
99,228
100,216
101,175
102,232
103,135
104,196
105,162
106,196
107,178
108,183
109,205
110,173
111,153
112,175
113,215
114,189
115,162
116,136
117,200
118,146
119,185
120,203
121,155
122,223
123,181
124,130
125,214
126,141
127,208
128,160
129,197
130,213
131,213
132,201
133,101
134,189
135,240
136,185
137,196
138,195
139,208
140,177
141,200
142,217
143,151
144,210
145,141
146,177
147,201
148,180
149,233
150,212
151,195
152,192
153,157
154,159
155,181
156,204
157,188
158,213
159,226
160,212
161,216
162,159
163,197
164,169
165,130
166,113
167,174
168,242
169,174
170,160
171,188
172,197
173,169
174,203
175,226
176,173
177,149
178,155
179,187
180,204
181,173
182,157
183,151
184,153
185,209
186,132
187,148
188,195
189,165
190,170
191,120
192,122
193,149
194,146
195,173
196,181
197,179
198,148
199,180
