,number_pca_components_class
0,7
1,7
2,7
3,7
4,7
5,7
6,8
7,8
8,8
9,7
10,8
11,7
12,7
13,7
14,8
15,8
16,8
17,8
18,7
19,8
20,7
21,7
22,7
23,6
24,7
25,7
26,7
27,7
28,7
29,7
30,7
31,7
32,7
33,7
34,8
35,7
36,8
37,7
38,7
39,8
40,8
41,8
42,8
43,8
44,7
45,7
46,8
47,8
48,7
49,7
50,7
51,7
52,8
53,7
54,7
55,7
56,7
57,7
58,7
59,8
60,7
61,7
62,8
63,7
64,8
65,7
66,7
67,8
68,7
69,8
70,6
71,7
72,8
73,7
74,7
75,7
76,8
77,7
78,7
79,8
80,8
81,6
82,6
83,8
84,7
85,8
86,7
87,7
88,8
89,8
90,7
91,7
92,8
93,6
94,7
95,8
96,7
97,7
98,7
99,8
100,7
101,8
102,8
103,7
104,8
105,7
106,7
107,7
108,7
109,7
110,7
111,6
112,7
113,8
114,7
115,7
116,6
117,7
118,7
119,7
120,7
121,7
122,8
123,7
124,7
125,7
126,7
127,7
128,7
129,7
130,8
131,7
132,7
133,6
134,8
135,8
136,7
137,7
138,7
139,7
140,7
141,8
142,7
143,7
144,7
145,6
146,7
147,7
148,7
149,8
150,7
151,7
152,8
153,7
154,7
155,7
156,7
157,7
158,8
159,8
160,8
161,7
162,7
163,7
164,7
165,7
166,6
167,7
168,8
169,7
170,7
171,7
172,8
173,7
174,8
175,8
176,7
177,7
178,7
179,7
180,8
181,7
182,8
183,8
184,7
185,8
186,6
187,6
188,8
189,7
190,7
191,6
192,7
193,7
194,7
195,7
196,7
197,7
198,7
199,7
