,epoch,average_angle_pc_weight
0,0,89.74247283935547
1,1,67.14464797973633
2,2,64.32166976928711
3,4,63.36090278625488
4,6,63.58817024230957
5,8,64.03825378417969
6,10,64.63346862792969
7,12,65.12902336120605
8,14,65.51839485168458
9,16,66.04044494628906
10,18,66.51545600891113
11,20,66.97699279785157
12,25,68.1148838043213
13,30,69.43469924926758
14,35,70.8356948852539
15,40,72.4433765411377
16,45,74.21746139526367
17,50,75.86708602905273
18,55,77.43116912841796
19,60,78.67380752563477
20,65,79.9003288269043
21,70,80.60044403076172
22,75,81.22942352294922
23,80,80.65191040039062
24,85,80.6653335571289
25,90,80.86091995239258
26,95,80.00467987060547
27,100,80.04761581420898
28,105,80.04860382080078
29,110,80.12102127075195
30,115,79.75124130249023
31,120,79.75019073486328
32,125,79.61922302246094
33,130,79.74264831542969
34,135,79.31632003784179
35,140,79.62499160766602
36,145,79.5277587890625
37,150,79.07311248779297
38,155,79.16139602661133
39,160,79.27432327270508
40,165,79.0291877746582
41,170,79.15491027832032
42,175,78.91159133911133
43,180,79.05716552734376
44,185,78.82837982177735
45,190,79.0968246459961
46,195,78.96734161376953
47,200,78.86640243530273
48,205,78.79686584472657
49,210,78.92626495361328
50,215,78.99515075683594
51,220,78.53266525268555
52,225,78.4806755065918
53,230,78.71191635131837
54,235,79.12311096191407
55,240,78.97919158935547
56,245,78.06066970825195
57,250,78.5000373840332
58,255,78.57156295776367
59,260,78.72448501586913
60,265,78.92479934692383
61,270,78.07245559692383
62,275,78.20564346313476
63,280,78.44666442871093
64,285,78.49231185913087
65,290,78.70345993041992
66,295,77.8208137512207
67,300,78.0646858215332
68,305,78.24584884643555
