,acc_class
0,0.24799999594688416
1,0.3540000021457672
2,0.1340000033378601
3,0.1419999897480011
4,0.18599998950958252
5,0.07999999821186066
6,0.041999999433755875
7,0.04800000041723251
8,0.15600000321865082
9,0.0819999948143959
10,0.03999999910593033
11,0.07000000029802322
12,0.22999998927116394
13,0.3619999885559082
14,0.25
15,0.03399999812245369
16,0.041999999433755875
17,0.15799999237060547
18,0.3179999887943268
19,0.085999995470047
20,0.11800000071525574
21,0.1979999989271164
22,0.23999999463558197
23,0.44599997997283936
24,0.14800000190734863
25,0.10199999809265137
26,0.2199999988079071
27,0.08799999952316284
28,0.053999997675418854
29,0.1679999977350235
30,0.041999999433755875
31,0.15199999511241913
32,0.18799999356269836
33,0.029999999329447746
34,0.10199999809265137
35,0.07599999755620956
36,0.23999999463558197
37,0.15199999511241913
38,0.1119999960064888
39,0.11599999666213989
40,0.03399999812245369
41,0.14000000059604645
42,0.06799999624490738
43,0.09399999678134918
44,0.28200000524520874
45,0.1899999976158142
46,0.05199999734759331
47,0.21799999475479126
48,0.017999999225139618
49,0.10199999809265137
50,0.19999998807907104
51,0.024000000208616257
52,0.23799999058246613
53,0.09799999743700027
54,0.053999997675418854
55,0.07000000029802322
56,0.03799999877810478
57,0.11999999731779099
58,0.11999999731779099
59,0.14399999380111694
60,0.3019999861717224
61,0.11800000071525574
62,0.10999999940395355
63,0.15799999237060547
64,0.07000000029802322
65,0.041999999433755875
66,0.19200000166893005
67,0.05199999734759331
68,0.12600000202655792
69,0.15399999916553497
70,0.10599999874830246
71,0.26600000262260437
72,0.07400000095367432
73,0.09799999743700027
74,0.2680000066757202
75,0.03199999779462814
76,0.04399999976158142
77,0.2019999921321869
78,0.20999999344348907
79,0.041999999433755875
80,0.05199999734759331
81,0.40799999237060547
82,0.1459999978542328
83,0.10399999469518661
84,0.11400000005960464
85,0.15799999237060547
86,0.2239999920129776
87,0.11800000071525574
88,0.0139999995008111
89,0.22599999606609344
90,0.22599999606609344
91,0.25999999046325684
92,0.025999998673796654
93,0.15399999916553497
94,0.18199999630451202
95,0.06199999898672104
96,0.09799999743700027
97,0.19599999487400055
98,0.07400000095367432
99,0.06399999558925629
100,0.05199999734759331
101,0.10999999940395355
102,0.09399999678134918
103,0.17999999225139618
104,0.10999999940395355
105,0.11599999666213989
106,0.07800000160932541
107,0.16599999368190765
108,0.09799999743700027
109,0.15199999511241913
110,0.1599999964237213
111,0.06199999898672104
112,0.1340000033378601
113,0.15399999916553497
114,0.07599999755620956
115,0.08799999952316284
116,0.18400000035762787
117,0.22199998795986176
118,0.11999999731779099
119,0.06399999558925629
120,0.11999999731779099
121,0.20999999344348907
122,0.0559999980032444
123,0.12799999117851257
124,0.42399999499320984
125,0.07400000095367432
126,0.22999998927116394
127,0.07800000160932541
128,0.12199999392032623
129,0.07199999690055847
130,0.10399999469518661
131,0.05199999734759331
132,0.14800000190734863
133,0.18199999630451202
134,0.1899999976158142
135,0.057999998331069946
136,0.15399999916553497
137,0.10999999940395355
138,0.14399999380111694
139,0.012000000104308128
140,0.06399999558925629
141,0.09799999743700027
142,0.017999999225139618
143,0.15399999916553497
144,0.07199999690055847
145,0.44599997997283936
146,0.12799999117851257
147,0.14800000190734863
148,0.17000000178813934
149,0.0279999990016222
150,0.1599999964237213
151,0.07199999690055847
152,0.10199999809265137
153,0.18599998950958252
154,0.257999986410141
155,0.17999999225139618
156,0.06399999558925629
157,0.09399999678134918
158,0.09399999678134918
159,0.035999998450279236
160,0.03799999877810478
161,0.05199999734759331
162,0.1679999977350235
163,0.057999998331069946
164,0.1419999897480011
165,0.2239999920129776
166,0.25200000405311584
167,0.1639999896287918
168,0.10199999809265137
169,0.2619999945163727
170,0.17599999904632568
171,0.25999999046325684
172,0.09399999678134918
173,0.10599999874830246
174,0.05999999865889549
175,0.0559999980032444
176,0.15399999916553497
177,0.37599998712539673
178,0.20600000023841858
179,0.12600000202655792
180,0.11400000005960464
181,0.23399999737739563
182,0.18199999630451202
183,0.3139999806880951
184,0.2199999988079071
185,0.08799999952316284
186,0.30399999022483826
187,0.2280000001192093
188,0.1379999965429306
189,0.27799999713897705
190,0.11800000071525574
191,0.44200000166893005
192,0.15600000321865082
193,0.17399999499320984
194,0.2839999794960022
195,0.11400000005960464
196,0.2280000001192093
197,0.10599999874830246
198,0.2199999988079071
199,0.1459999978542328
