,number_pca_components_class
0,5
1,4
2,5
3,5
4,6
5,4
6,5
7,5
8,5
9,4
10,4
11,4
12,5
13,5
14,5
15,5
16,5
17,5
18,4
19,5
20,5
21,5
22,4
23,5
24,4
25,5
26,5
27,5
28,4
29,6
30,4
31,5
32,5
33,5
34,4
35,4
36,6
37,6
38,6
39,5
40,5
41,5
42,5
43,5
44,5
45,4
46,4
47,4
48,5
49,5
50,5
51,5
52,6
53,4
54,4
55,4
56,4
57,4
58,5
59,4
60,3
61,5
62,4
63,4
64,5
65,5
66,4
67,5
68,4
69,5
70,4
71,5
72,5
73,5
74,4
75,3
76,5
77,4
78,5
79,5
80,5
81,5
82,4
83,5
84,4
85,6
86,5
87,5
88,4
89,5
90,4
91,5
92,5
93,4
94,4
95,5
96,5
97,4
98,5
99,5
100,4
101,5
102,4
103,5
104,5
105,5
106,4
107,4
108,4
109,5
110,5
111,3
112,4
113,5
114,5
115,5
116,4
117,5
118,4
119,4
120,4
121,5
122,5
123,4
124,5
125,4
126,5
127,4
128,4
129,5
130,5
131,4
132,5
133,4
134,5
135,4
136,5
137,5
138,5
139,4
140,4
141,5
142,5
143,4
144,5
145,3
146,4
147,4
148,5
149,5
150,5
151,5
152,6
153,4
154,5
155,5
156,3
157,5
158,5
159,5
160,4
161,4
162,4
163,3
164,4
165,4
166,4
167,5
168,5
169,5
170,5
171,4
172,5
173,5
174,5
175,5
176,3
177,4
178,5
179,5
180,4
181,4
182,6
183,5
184,5
185,5
186,5
187,4
188,5
189,4
190,4
191,4
192,5
193,4
194,5
195,4
196,6
197,4
198,5
199,5
