epoch,Train_acc_zerobias,Train_acc_org_zerobias,Test_acc_zerobias
0,19.663333333333334,57.30166666666666,59.51
1,23.586666666666666,77.75,78.73
2,26.39666666666667,91.74666666666667,92.22
4,26.968333333333334,94.22833333333334,94.74000000000001
6,27.195000000000004,94.80166666666666,95.17
8,27.366666666666667,95.30666666666666,95.55
10,27.511666666666667,95.30166666666666,95.72
12,27.578333333333333,93.99833333333333,94.31
14,27.613333333333333,92.84,93.13
16,27.561666666666667,92.29,92.24
18,27.671666666666667,92.21000000000001,92.49000000000001
20,27.79333333333333,91.44166666666666,91.69
25,27.571666666666665,89.89333333333333,90.14999999999999
30,26.761666666666667,86.18833333333333,86.13
35,26.87,84.46833333333333,84.66
40,25.918333333333333,79.72166666666666,80.73
45,26.263333333333332,80.43,81.10000000000001
50,26.325,79.84166666666667,79.85
55,25.540000000000003,76.74833333333333,76.79
60,25.72833333333333,73.94666666666667,73.9
65,25.645,72.27666666666667,72.44
70,25.156666666666666,72.115,72.35000000000001
75,25.988333333333337,74.15333333333334,74.64
80,25.088333333333335,69.78666666666666,69.85
85,25.180000000000003,67.59833333333334,68.32000000000001
90,24.605,64.78,64.37
95,24.104999999999997,65.61,65.69
100,24.436666666666667,65.37666666666667,65.42
105,24.511666666666667,64.11333333333333,64.14
110,24.490000000000002,63.43333333333333,63.18
115,24.731666666666666,63.476666666666674,63.82
120,24.656666666666666,65.02666666666667,65.03999999999999
125,25.261666666666667,64.91666666666667,64.67
130,25.11,64.78666666666668,64.92
135,24.888333333333335,64.865,65.08
140,25.095,64.88666666666667,64.98
145,24.996666666666666,64.92666666666666,64.3
150,25.363333333333333,64.84833333333333,64.7
155,25.403333333333332,65.38666666666667,64.53
160,25.598333333333333,63.44333333333333,63.54
165,25.28166666666667,62.55166666666667,62.760000000000005
170,25.155,60.77166666666667,60.629999999999995
175,25.301666666666666,60.888333333333335,61.38
180,25.71333333333333,61.1,61.51
185,26.01833333333333,61.55666666666667,61.75000000000001
190,25.726666666666663,60.766666666666666,60.75000000000001
195,25.616666666666667,61.214999999999996,60.940000000000005
200,25.445,62.31,62.63999999999999
205,25.376666666666665,62.875,62.96000000000001
210,25.295,62.475,62.35000000000001
215,25.236666666666668,61.79,61.96
220,24.948333333333334,61.916666666666664,62.029999999999994
225,24.82,63.86166666666667,64.39
230,24.971666666666668,62.30166666666667,62.35000000000001
235,25.606666666666666,62.44833333333333,62.519999999999996
240,25.455,61.84333333333333,61.739999999999995
245,25.356666666666666,61.57666666666667,61.78
250,25.903333333333332,62.416666666666664,62.31
255,25.998333333333335,62.111666666666665,62.0
260,26.179999999999996,61.51833333333333,61.339999999999996
265,26.424999999999997,61.63999999999999,61.57
270,25.793333333333337,61.586666666666666,61.56
275,26.321666666666665,61.32333333333333,61.199999999999996
280,27.168333333333333,59.568333333333335,59.98
285,27.22833333333333,59.83166666666667,60.07
290,26.840000000000003,60.18333333333333,60.47
295,26.810000000000002,60.443333333333335,60.980000000000004
300,26.621666666666666,61.416666666666664,61.529999999999994
305,26.828333333333333,60.436666666666675,61.029999999999994
310,26.89666666666667,61.31666666666666,61.22
315,26.97833333333333,61.20833333333333,61.23
320,27.081666666666663,61.66833333333334,62.28
325,27.155,62.026666666666664,62.2
330,27.413333333333334,62.025,61.919999999999995
335,27.19666666666667,61.67,61.68
340,27.213333333333335,62.68,62.74999999999999
345,27.226666666666667,61.83333333333333,61.83
350,27.586666666666666,62.22,61.96
355,27.298333333333336,62.763333333333335,63.12
360,27.23333333333333,62.44166666666666,62.519999999999996
365,27.203333333333333,62.74999999999999,62.660000000000004
370,27.241666666666664,62.36166666666667,62.56
375,27.189999999999998,63.388333333333335,63.13999999999999
380,27.139999999999997,63.05666666666667,63.46000000000001
385,27.55666666666667,62.980000000000004,63.09
390,27.603333333333335,62.55500000000001,62.94
395,27.986666666666665,61.94333333333333,62.36000000000001
400,27.685,62.15166666666667,62.43
405,27.71666666666667,62.513333333333335,62.370000000000005
410,27.873333333333335,63.098333333333336,62.92
415,27.79,61.92333333333333,62.11
420,28.14333333333333,61.21666666666666,60.940000000000005
425,28.189999999999998,62.845,62.839999999999996
430,28.116666666666667,61.901666666666664,61.75000000000001
435,27.883333333333333,62.614999999999995,62.21
440,28.18,62.358333333333334,62.19
445,28.308333333333337,62.4,62.29
450,28.501666666666665,62.016666666666666,61.650000000000006
455,28.123333333333335,61.681666666666665,61.660000000000004
460,28.82166666666667,62.196666666666665,62.03999999999999
465,28.628333333333334,62.144999999999996,62.339999999999996
470,28.84,61.985,62.38
475,28.655,62.12166666666666,62.28
480,28.536666666666665,61.973333333333336,61.89
485,28.865000000000002,61.68,61.150000000000006
490,29.163333333333334,61.42333333333333,61.79
495,29.51666666666667,61.94833333333334,62.0
500,29.093333333333334,61.39,60.99
