,number_pca_components_class
0,3
1,7
2,8
3,8
4,5
5,4
6,4
7,7
8,6
9,7
10,7
11,6
12,7
13,6
14,3
15,3
16,5
17,7
18,2
19,4
20,6
21,5
22,2
23,4
24,4
25,3
26,6
27,5
28,7
29,8
30,3
31,7
32,3
33,4
34,4
35,5
36,7
37,4
38,6
39,6
40,7
41,6
42,5
43,3
44,4
45,7
46,6
47,6
48,2
49,7
50,7
51,4
52,5
53,4
54,5
55,7
56,5
57,4
58,4
59,8
60,5
61,7
62,4
63,3
64,4
65,8
66,6
67,2
68,6
69,3
70,4
71,7
72,5
73,3
74,4
75,5
76,6
77,3
78,5
79,4
80,7
81,5
82,6
83,3
84,5
85,5
86,6
87,4
88,8
89,4
90,4
91,5
92,7
93,3
94,3
95,6
96,4
97,6
98,3
99,2
100,4
101,4
102,6
103,3
104,2
105,5
106,8
107,6
108,4
109,6
110,7
111,6
112,2
113,6
114,6
115,7
116,5
117,3
118,7
119,4
120,2
121,4
122,7
123,5
124,2
125,3
126,6
127,3
128,6
129,4
130,4
131,4
132,8
133,6
134,4
135,6
136,5
137,4
138,7
139,6
140,3
141,7
142,6
143,8
144,3
145,4
146,4
147,5
148,5
149,4
150,7
151,6
152,6
153,7
154,3
155,4
156,6
157,4
158,5
159,6
160,6
161,7
162,5
163,3
164,7
165,9
166,5
167,3
168,4
169,7
170,4
171,4
172,4
173,7
174,3
175,3
176,6
177,5
178,7
179,5
180,6
181,5
182,4
183,3
184,4
185,2
186,3
187,6
188,4
189,3
190,5
191,9
192,7
193,7
194,4
195,6
196,5
197,3
198,6
199,5
