,number_pca_components_class
0,106
1,87
2,124
3,135
4,129
5,170
6,160
7,163
8,132
9,141
10,166
11,161
12,99
13,98
14,115
15,173
16,179
17,175
18,138
19,155
20,119
21,156
22,119
23,59
24,161
25,148
26,147
27,158
28,140
29,155
30,169
31,138
32,172
33,153
34,130
35,117
36,119
37,130
38,135
39,138
40,180
41,164
42,172
43,151
44,73
45,88
46,161
47,148
48,146
49,133
50,86
51,128
52,128
53,138
54,146
55,105
56,113
57,96
58,117
59,174
60,114
61,121
62,169
63,172
64,197
65,138
66,148
67,190
68,125
69,160
70,76
71,138
72,187
73,177
74,142
75,178
76,206
77,150
78,109
79,209
80,211
81,72
82,109
83,161
84,129
85,159
86,128
87,124
88,213
89,166
90,136
91,137
92,177
93,115
94,82
95,162
96,144
97,132
98,151
99,194
100,179
101,144
102,195
103,78
104,149
105,143
106,166
107,113
108,131
109,171
110,146
111,91
112,141
113,178
114,146
115,93
116,89
117,167
118,101
119,153
120,159
121,95
122,200
123,149
124,84
125,180
126,97
127,170
128,109
129,146
130,183
131,184
132,169
133,50
134,166
135,194
136,158
137,173
138,152
139,192
140,143
141,171
142,180
143,94
144,190
145,89
146,112
147,167
148,153
149,199
150,174
151,158
152,156
153,87
154,109
155,159
156,165
157,140
158,192
159,199
160,187
161,185
162,131
163,146
164,123
165,82
166,52
167,115
168,210
169,145
170,114
171,159
172,188
173,131
174,151
175,195
176,117
177,106
178,91
179,152
180,157
181,129
182,100
183,114
184,101
185,176
186,86
187,87
188,149
189,123
190,123
191,66
192,70
193,97
194,102
195,143
196,122
197,140
198,116
199,135
