,epoch,average_angle_pc_weight
0,0,90.10127258300781
1,1,83.5974494934082
2,2,81.83650207519531
3,4,80.30729751586914
4,6,80.0013328552246
5,8,79.79294281005859
6,10,79.60912246704102
7,12,80.08152694702149
8,14,80.79574890136719
9,16,81.38727188110352
10,18,82.14628753662109
11,20,83.44100799560547
12,25,84.15652694702149
13,30,85.7575698852539
14,35,86.35613479614258
15,40,86.28712005615235
16,45,86.52257690429687
17,50,86.84438095092773
18,55,87.63527450561523
19,60,88.31108169555664
20,65,88.03714599609376
21,70,87.96592254638672
22,75,87.63656005859374
23,80,86.9895523071289
24,85,87.19207763671875
25,90,87.7514518737793
26,95,87.30956115722657
27,100,87.24747619628906
28,105,86.7232292175293
29,110,87.40488739013672
30,115,87.92443771362305
31,120,87.41754913330078
32,125,88.13907394409179
33,130,87.54369354248047
34,135,87.17376480102538
35,140,86.82365264892579
36,145,86.82620773315429
37,150,86.77602005004883
38,155,86.70198211669921
39,160,87.15737686157226
40,165,87.5433250427246
41,170,87.3019805908203
42,175,87.33462829589844
43,180,87.49293746948243
44,185,87.43535690307617
45,190,87.33852920532226
46,195,86.99165802001953
47,200,86.93295593261719
48,205,86.7092300415039
49,210,86.7336639404297
50,215,86.42524185180665
51,220,86.26425323486328
52,225,86.35600814819335
53,230,86.19189071655273
54,235,86.02763977050782
55,240,85.95190887451172
56,245,86.01543731689453
57,250,86.06801681518554
58,255,86.11658935546875
59,260,86.10177764892578
60,265,86.06693954467774
61,270,86.0999855041504
62,275,86.15765914916992
63,280,86.11787796020508
64,285,85.97003860473633
65,290,86.0238540649414
66,295,85.98973388671875
67,300,86.04992980957032
68,305,85.97650146484375
69,310,85.93852386474609
70,315,85.98552551269532
71,320,86.1313606262207
72,325,86.08044509887695
73,330,86.19949722290039
74,335,86.1524673461914
75,340,86.2306526184082
76,345,86.32541885375977
77,350,86.19584121704102
78,355,86.06523056030274
79,360,86.11798706054688
80,365,86.17826690673829
81,370,86.12233352661133
82,375,86.00875320434571
83,380,86.21884231567383
84,385,85.95047073364258
85,390,86.10984649658204
86,395,86.16175231933593
87,400,85.95020446777343
88,405,85.84187240600586
89,410,86.10841522216796
90,415,86.12728576660156
91,420,86.01869430541993
92,425,86.15186462402343
93,430,86.0500473022461
94,435,86.17161331176757
95,440,86.0478759765625
96,445,86.23359985351563
97,450,86.08733520507812
98,455,85.94152145385742
99,460,86.09940032958984
100,465,86.07213821411133
101,470,85.99258499145508
102,475,86.06169815063477
103,480,85.79559326171875
104,485,86.09735946655273
105,490,85.73439407348633
106,495,85.67729187011719
107,500,85.91970748901367
