,epoch,average_angle_pc_weight
0,0,90.1042366027832
1,1,89.71557998657227
2,2,89.60869216918945
3,4,89.60851135253907
4,6,89.67485885620117
5,8,89.71199035644531
6,10,89.72789611816407
7,12,89.77413024902344
8,14,89.73176803588868
9,16,89.71972579956055
10,18,89.69612045288086
11,20,89.59923248291015
12,25,89.91556549072266
13,30,88.15349426269532
14,35,90.08251190185547
15,40,91.32929992675781
16,45,91.24620208740234
17,50,91.3165153503418
18,55,92.60244140625
19,60,93.66463012695313
20,65,93.97365341186523
21,70,94.09521255493163
22,75,94.04598922729492
23,80,93.75141830444336
24,85,94.09735488891602
25,90,94.36397094726563
26,95,94.17885665893554
27,100,93.41315307617188
28,105,93.46752548217773
29,110,93.29152450561523
30,115,92.55495834350586
31,120,92.37083740234375
32,125,92.67556381225586
33,130,91.6658821105957
34,135,87.02890625
35,140,92.32338180541993
36,145,91.48032760620117
37,150,91.80423278808594
38,155,91.14900283813476
39,160,91.19276885986328
40,165,90.72232513427734
41,170,91.67127075195313
42,175,91.23630981445312
43,180,92.32709274291992
44,185,92.27548904418946
45,190,91.54002456665039
46,195,91.84075775146485
47,200,91.67960739135742
48,205,92.02025680541992
49,210,92.56221160888671
50,215,91.4615592956543
51,220,91.89720153808594
52,225,91.87992248535156
53,230,91.89415664672852
54,235,92.33767776489258
55,240,91.96679077148437
56,245,92.16641769409179
57,250,91.65989151000977
58,255,91.7008430480957
59,260,91.48152313232421
60,265,91.32650756835938
61,270,91.5288818359375
62,275,91.80654220581054
63,280,92.08948211669922
64,285,91.79750366210938
65,290,91.36664352416992
66,295,91.05207824707031
67,300,90.89217758178711
68,305,90.96761627197266
69,310,90.59311065673828
70,315,90.57817993164062
71,320,90.78406219482422
72,325,91.23481369018555
73,330,91.27538757324218
74,335,91.09083633422851
75,340,90.43860549926758
76,345,90.30592422485351
77,350,89.93793182373047
78,355,89.70912017822266
79,360,89.80725173950195
80,365,89.46772384643555
81,370,89.92231140136718
82,375,90.1742790222168
83,380,90.35752410888672
84,385,90.37609634399413
85,390,90.26343688964843
86,395,90.7204818725586
87,400,90.851318359375
88,405,90.81963958740235
89,410,90.81862106323243
90,415,90.52101669311523
91,420,90.57016677856446
92,425,90.79175643920898
93,430,90.3192756652832
94,435,89.93432159423828
95,440,89.32698974609374
96,445,89.51072006225586
97,450,89.60908203125
98,455,90.29428634643554
99,460,90.54463500976563
100,465,90.38638000488281
101,470,90.46194839477539
102,475,90.3916114807129
103,480,90.6786376953125
104,485,90.35352325439453
105,490,90.34021530151367
106,495,90.3350830078125
107,500,90.08459243774413
