epoch,Train_accuracy,Train_accuracy_org,Test_accuracy
41,77.618,82.07600000000001,72.21
42,79.848,81.116,71.67
43,82.288,82.52199999999999,71.33
44,83.77799999999999,84.07,72.34
45,84.816,85.538,73.33
46,85.982,86.08200000000001,73.15
47,86.72800000000001,88.49000000000001,73.49
48,87.236,87.124,73.41
49,87.792,84.654,71.21
50,88.32,88.054,73.41
51,88.376,88.274,73.92
52,88.646,88.416,74.24
53,88.738,90.33200000000001,74.42
54,88.778,87.66199999999999,73.04
55,88.94999999999999,88.532,73.87
56,89.19,87.882,73.03
57,89.118,89.248,74.1
58,89.31,90.022,74.51
59,89.456,90.932,75.37
60,89.354,92.108,75.16000000000001
61,88.742,90.392,74.47
62,89.494,91.16,74.78
63,89.338,89.37,73.08
64,89.698,88.05,72.67
65,90.202,90.562,74.75
66,90.172,90.412,74.2
67,89.672,88.728,73.00999999999999
68,90.068,91.006,74.62
69,90.274,90.952,74.38
70,89.352,90.424,74.59
71,90.458,91.434,74.82
72,90.392,90.464,74.0
73,90.956,89.932,73.76
74,89.89200000000001,88.778,72.72999999999999
75,90.35600000000001,90.69800000000001,73.50999999999999
76,89.564,91.44,74.46000000000001
77,90.24799999999999,92.19800000000001,74.96000000000001
78,88.49000000000001,92.092,75.08
79,89.32600000000001,92.422,74.88
80,90.858,91.16199999999999,74.38
81,88.956,91.348,74.53
82,88.408,91.03,74.76
83,89.152,92.372,74.65
84,88.654,92.808,75.74
85,89.78399999999999,91.218,74.85000000000001
86,87.562,90.726,74.87
87,89.68199999999999,90.188,74.02
88,89.55,90.524,73.98
89,86.57000000000001,68.04599999999999,60.46
90,84.512,74.882,66.14
91,86.526,92.616,75.96000000000001
92,87.75,89.976,74.58
93,85.92999999999999,87.24199999999999,72.68
94,89.424,85.504,72.1
95,88.78200000000001,86.08,71.87
96,88.478,89.984,73.67
97,89.042,89.22,74.25
98,88.922,89.63600000000001,73.29
99,89.14,90.176,73.82
100,86.87,88.90400000000001,73.49
