,number_pca_components_class
0,10
1,7
2,8
3,9
4,7
5,8
6,9
7,10
8,8
9,7
10,9
11,7
12,6
13,9
14,11
15,9
16,9
17,10
18,10
19,9
20,6
21,6
22,7
23,9
24,8
25,8
26,8
27,6
28,6
29,6
30,7
31,8
32,7
33,7
34,8
35,7
36,10
37,10
38,11
39,9
40,10
41,8
42,10
43,9
44,9
45,10
46,10
47,9
48,7
49,6
50,6
51,7
52,8
53,7
54,6
55,6
56,7
57,6
58,6
59,8
60,6
61,8
62,8
63,6
64,7
65,6
66,7
67,8
68,6
69,9
70,5
71,8
72,10
73,8
74,7
75,6
76,7
77,7
78,7
79,9
80,9
81,5
82,8
83,11
84,6
85,9
86,6
87,6
88,7
89,9
90,8
91,8
92,7
93,7
94,6
95,8
96,7
97,6
98,7
99,7
100,6
101,7
102,7
103,7
104,9
105,6
106,6
107,6
108,6
109,7
110,6
111,5
112,6
113,11
114,7
115,7
116,5
117,7
118,6
119,6
120,6
121,6
122,9
123,7
124,7
125,6
126,8
127,6
128,6
129,6
130,11
131,7
132,8
133,5
134,8
135,8
136,7
137,8
138,6
139,6
140,8
141,7
142,7
143,5
144,8
145,8
146,6
147,6
148,9
149,8
150,8
151,7
152,7
153,7
154,6
155,7
156,7
157,6
158,8
159,8
160,9
161,9
162,7
163,8
164,6
165,6
166,6
167,6
168,8
169,8
170,6
171,7
172,8
173,7
174,8
175,9
176,7
177,10
178,10
179,9
180,8
181,10
182,10
183,9
184,12
185,9
186,12
187,12
188,12
189,11
190,11
191,11
192,10
193,10
194,8
195,8
196,10
197,8
198,9
199,9
