,acc_class
0,0.257999986410141
1,0.1419999897480011
2,0.17599999904632568
3,0.17999999225139618
4,0.17999999225139618
5,0.17000000178813934
6,0.20399999618530273
7,0.18400000035762787
8,0.12399999797344208
9,0.18199999630451202
10,0.20799998939037323
11,0.1679999977350235
12,0.1599999964237213
13,0.35999998450279236
14,0.2680000066757202
15,0.16599999368190765
16,0.1639999896287918
17,0.18799999356269836
18,0.25599998235702515
19,0.12399999797344208
20,0.17999999225139618
21,0.171999990940094
22,0.27799999713897705
23,0.40799999237060547
24,0.1599999964237213
25,0.14999999105930328
26,0.20999999344348907
27,0.16200000047683716
28,0.15399999916553497
29,0.1419999897480011
30,0.19599999487400055
31,0.23600000143051147
32,0.11999999731779099
33,0.1639999896287918
34,0.23199999332427979
35,0.14800000190734863
36,0.17399999499320984
37,0.19599999487400055
38,0.20999999344348907
39,0.23600000143051147
40,0.20399999618530273
41,0.21400000154972076
42,0.16200000047683716
43,0.20799998939037323
44,0.1979999989271164
45,0.19999998807907104
46,0.24199999868869781
47,0.16599999368190765
48,0.11999999731779099
49,0.1599999964237213
50,0.17999999225139618
51,0.1419999897480011
52,0.3100000023841858
53,0.10799999535083771
54,0.15600000321865082
55,0.1599999964237213
56,0.15399999916553497
57,0.11400000005960464
58,0.10399999469518661
59,0.12600000202655792
60,0.18199999630451202
61,0.10999999940395355
62,0.18199999630451202
63,0.17799998819828033
64,0.12600000202655792
65,0.15799999237060547
66,0.21199999749660492
67,0.15600000321865082
68,0.14399999380111694
69,0.21599999070167542
70,0.17599999904632568
71,0.2939999997615814
72,0.2639999985694885
73,0.12399999797344208
74,0.19599999487400055
75,0.14399999380111694
76,0.15399999916553497
77,0.14399999380111694
78,0.22999998927116394
79,0.20999999344348907
80,0.257999986410141
81,0.14399999380111694
82,0.20399999618530273
83,0.19200000166893005
84,0.171999990940094
85,0.17999999225139618
86,0.20999999344348907
87,0.15199999511241913
88,0.14999999105930328
89,0.21599999070167542
90,0.18400000035762787
91,0.16200000047683716
92,0.17799998819828033
93,0.11400000005960464
94,0.20600000023841858
95,0.20399999618530273
96,0.15600000321865082
97,0.14800000190734863
98,0.09399999678134918
99,0.10799999535083771
100,0.16200000047683716
101,0.21400000154972076
102,0.17999999225139618
103,0.1899999976158142
104,0.1599999964237213
105,0.085999995470047
106,0.1599999964237213
107,0.15799999237060547
108,0.15399999916553497
109,0.14000000059604645
110,0.1679999977350235
111,0.10199999809265137
112,0.1939999908208847
113,0.2019999921321869
114,0.1119999960064888
115,0.18599998950958252
116,0.17000000178813934
117,0.20600000023841858
118,0.17399999499320984
119,0.12999999523162842
120,0.10799999535083771
121,0.16599999368190765
122,0.1979999989271164
123,0.16200000047683716
124,0.20600000023841858
125,0.2199999988079071
126,0.10199999809265137
127,0.1599999964237213
128,0.19200000166893005
129,0.19599999487400055
130,0.21599999070167542
131,0.12399999797344208
132,0.17999999225139618
133,0.14399999380111694
134,0.16200000047683716
135,0.1939999908208847
136,0.17399999499320984
137,0.18199999630451202
138,0.14999999105930328
139,0.17599999904632568
140,0.171999990940094
141,0.1639999896287918
142,0.12600000202655792
143,0.13199999928474426
144,0.14999999105930328
145,0.18599998950958252
146,0.22599999606609344
147,0.12999999523162842
148,0.25999999046325684
149,0.18199999630451202
150,0.13599999248981476
151,0.1679999977350235
152,0.14999999105930328
153,0.20399999618530273
154,0.18799999356269836
155,0.1639999896287918
156,0.1599999964237213
157,0.17599999904632568
158,0.17999999225139618
159,0.20399999618530273
160,0.171999990940094
161,0.17999999225139618
162,0.15399999916553497
163,0.2019999921321869
164,0.13199999928474426
165,0.1899999976158142
166,0.14399999380111694
167,0.18799999356269836
168,0.17799998819828033
169,0.15399999916553497
170,0.18199999630451202
171,0.20600000023841858
172,0.17799998819828033
173,0.2680000066757202
174,0.15399999916553497
175,0.1119999960064888
176,0.08399999886751175
177,0.16200000047683716
178,0.14800000190734863
179,0.1899999976158142
180,0.14000000059604645
181,0.2239999920129776
182,0.21599999070167542
183,0.15600000321865082
184,0.17799998819828033
185,0.1379999965429306
186,0.47200000286102295
187,0.4139999747276306
188,0.17399999499320984
189,0.14800000190734863
190,0.17799998819828033
191,0.30399999022483826
192,0.2680000066757202
193,0.19999998807907104
194,0.1899999976158142
195,0.25999999046325684
196,0.2680000066757202
197,0.20799998939037323
198,0.23199999332427979
199,0.17399999499320984
