,pca_variance_class
0,0.996337258876213
1,0.9950430922202516
2,0.9961270456074804
3,0.9964459953393833
4,0.9964364651074369
5,0.9962549714964931
6,0.9966245177950364
7,0.9952838801762528
8,0.9956466788710278
9,0.9958426606400624
