,number_pca_components_class
0,7
1,8
2,9
3,9
4,8
5,9
6,9
7,9
8,9
9,8
10,9
11,9
12,8
13,7
14,9
15,10
16,9
17,10
18,8
19,9
20,8
21,9
22,8
23,7
24,9
25,9
26,9
27,9
28,8
29,9
30,9
31,9
32,9
33,9
34,9
35,9
36,9
37,10
38,10
39,10
40,10
41,9
42,10
43,9
44,8
45,8
46,9
47,10
48,9
49,9
50,9
51,9
52,9
53,9
54,9
55,8
56,8
57,8
58,8
59,9
60,8
61,8
62,10
63,9
64,9
65,9
66,9
67,10
68,8
69,10
70,8
71,9
72,11
73,9
74,9
75,9
76,9
77,9
78,9
79,11
80,11
81,8
82,8
83,9
84,8
85,11
86,9
87,9
88,10
89,10
90,8
91,9
92,9
93,8
94,8
95,9
96,9
97,9
98,9
99,9
100,9
101,9
102,9
103,8
104,10
105,8
106,9
107,8
108,8
109,9
110,10
111,7
112,8
113,10
114,9
115,8
116,8
117,9
118,8
119,8
120,9
121,9
122,10
123,9
124,9
125,9
126,8
127,9
128,8
129,9
130,10
131,9
132,9
133,7
134,10
135,9
136,9
137,9
138,9
139,9
140,9
141,9
142,9
143,8
144,9
145,9
146,8
147,9
148,9
149,10
150,9
151,10
152,9
153,8
154,8
155,10
156,9
157,9
158,11
159,10
160,10
161,10
162,9
163,9
164,8
165,8
166,7
167,8
168,10
169,9
170,9
171,9
172,10
173,9
174,10
175,10
176,8
177,9
178,9
179,9
180,9
181,9
182,9
183,9
184,8
185,9
186,7
187,8
188,10
189,8
190,9
191,8
192,9
193,9
194,8
195,9
196,8
197,9
198,8
199,9
