,number_pca_components_class
0,13
1,23
2,24
3,27
4,27
5,27
6,30
7,29
8,29
9,26
10,32
11,27
12,24
13,11
14,19
15,30
16,31
17,30
18,23
19,27
20,28
21,28
22,26
23,11
24,27
25,26
26,27
27,29
28,26
29,29
30,27
31,28
32,28
33,27
34,25
35,27
36,23
37,27
38,27
39,27
40,33
41,32
42,29
43,28
44,22
45,17
46,23
47,28
48,27
49,27
50,27
51,28
52,28
53,28
54,27
55,26
56,26
57,25
58,26
59,30
60,21
61,23
62,28
63,27
64,32
65,26
66,29
67,33
68,22
69,31
70,22
71,26
72,30
73,30
74,28
75,29
76,30
77,26
78,30
79,33
80,30
81,27
82,22
83,23
84,26
85,30
86,27
87,28
88,34
89,31
90,18
91,27
92,29
93,23
94,21
95,29
96,29
97,26
98,27
99,32
100,30
101,24
102,33
103,24
104,27
105,25
106,29
107,27
108,26
109,27
110,30
111,22
112,22
113,29
114,30
115,23
116,22
117,31
118,26
119,25
120,28
121,25
122,31
123,28
124,24
125,29
126,24
127,30
128,23
129,30
130,29
131,30
132,29
133,19
134,29
135,29
136,29
137,29
138,24
139,31
140,29
141,32
142,28
143,26
144,33
145,22
146,24
147,30
148,20
149,30
150,27
151,31
152,31
153,21
154,24
155,32
156,29
157,29
158,32
159,32
160,32
161,29
162,28
163,25
164,26
165,25
166,20
167,26
168,31
169,27
170,27
171,29
172,31
173,25
174,29
175,30
176,23
177,24
178,22
179,24
180,26
181,23
182,21
183,24
184,17
185,29
186,14
187,14
188,21
189,19
190,22
191,17
192,18
193,24
194,21
195,29
196,18
197,25
198,22
199,26
