,number_pca_components_class
0,7
1,6
2,8
3,8
4,6
5,7
6,8
7,8
8,7
9,6
10,8
11,7
12,6
13,7
14,9
15,9
16,8
17,8
18,8
19,8
20,6
21,6
22,7
23,7
24,7
25,7
26,8
27,6
28,6
29,6
30,6
31,8
32,7
33,7
34,8
35,6
36,9
37,8
38,8
39,9
40,8
41,8
42,9
43,8
44,8
45,7
46,9
47,8
48,6
49,6
50,6
51,6
52,8
53,7
54,6
55,5
56,6
57,5
58,6
59,7
60,5
61,7
62,7
63,6
64,6
65,5
66,7
67,7
68,6
69,8
70,5
71,8
72,8
73,7
74,7
75,6
76,6
77,6
78,6
79,8
80,8
81,5
82,6
83,9
84,5
85,8
86,6
87,5
88,7
89,8
90,8
91,7
92,7
93,7
94,6
95,7
96,6
97,6
98,6
99,7
100,6
101,7
102,7
103,6
104,7
105,6
106,6
107,6
108,5
109,7
110,6
111,5
112,6
113,8
114,7
115,8
116,5
117,7
118,6
119,5
120,6
121,6
122,8
123,7
124,7
125,6
126,7
127,6
128,6
129,6
130,9
131,7
132,7
133,5
134,7
135,7
136,7
137,7
138,6
139,6
140,7
141,7
142,6
143,5
144,7
145,7
146,5
147,6
148,7
149,7
150,7
151,6
152,7
153,6
154,5
155,6
156,6
157,6
158,8
159,7
160,8
161,8
162,6
163,7
164,6
165,6
166,5
167,6
168,7
169,8
170,6
171,7
172,7
173,6
174,7
175,8
176,6
177,7
178,8
179,8
180,8
181,8
182,8
183,9
184,8
185,7
186,7
187,8
188,9
189,8
190,8
191,7
192,6
193,8
194,7
195,7
196,9
197,7
198,8
199,8
