,number_pca_components_class
0,8
1,9
2,9
3,10
4,9
5,10
6,10
7,10
8,9
9,9
10,9
11,9
12,9
13,9
14,10
15,10
16,10
17,11
18,9
19,10
20,9
21,9
22,9
23,8
24,10
25,10
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,10
34,10
35,10
36,9
37,9
38,9
39,9
40,10
41,9
42,9
43,9
44,9
45,9
46,10
47,10
48,10
49,10
50,10
51,9
52,9
53,11
54,10
55,10
56,10
57,10
58,9
59,11
60,10
61,10
62,10
63,10
64,11
65,10
66,10
67,11
68,9
69,10
70,9
71,9
72,10
73,10
74,10
75,10
76,11
77,10
78,9
79,11
80,11
81,9
82,10
83,9
84,10
85,10
86,10
87,10
88,11
89,10
90,9
91,10
92,11
93,9
94,9
95,10
96,9
97,10
98,10
99,11
100,10
101,9
102,11
103,9
104,10
105,10
106,10
107,9
108,9
109,10
110,10
111,9
112,9
113,10
114,10
115,8
116,9
117,10
118,10
119,10
120,10
121,9
122,10
123,10
124,9
125,10
126,9
127,10
128,9
129,10
130,10
131,10
132,10
133,9
134,10
135,10
136,10
137,10
138,10
139,10
140,9
141,10
142,10
143,9
144,10
145,9
146,9
147,10
148,9
149,10
150,10
151,10
152,11
153,9
154,9
155,10
156,10
157,10
158,11
159,10
160,10
161,10
162,10
163,10
164,9
165,10
166,8
167,9
168,11
169,10
170,10
171,10
172,10
173,9
174,10
175,11
176,9
177,9
178,9
179,9
180,10
181,9
182,9
183,10
184,8
185,11
186,8
187,8
188,9
189,9
190,10
191,8
192,9
193,9
194,9
195,10
196,10
197,9
198,9
199,9
