,number_pca_components_class
0,5
1,11
2,11
3,12
4,11
5,13
6,14
7,13
8,12
9,13
10,13
11,10
12,11
13,5
14,8
15,13
16,13
17,12
18,7
19,12
20,10
21,10
22,7
23,4
24,12
25,12
26,13
27,13
28,12
29,12
30,13
31,12
32,12
33,13
34,13
35,13
36,8
37,10
38,9
39,10
40,12
41,13
42,11
43,10
44,10
45,6
46,10
47,12
48,13
49,12
50,11
51,11
52,12
53,12
54,13
55,10
56,12
57,10
58,13
59,11
60,7
61,11
62,10
63,10
64,12
65,11
66,8
67,13
68,9
69,12
70,6
71,6
72,10
73,11
74,10
75,12
76,12
77,9
78,10
79,12
80,11
81,7
82,7
83,8
84,9
85,10
86,10
87,9
88,12
89,13
90,6
91,12
92,12
93,8
94,6
95,9
96,7
97,11
98,12
99,12
100,12
101,7
102,12
103,6
104,11
105,9
106,11
107,10
108,9
109,10
110,11
111,8
112,7
113,10
114,11
115,6
116,6
117,12
118,9
119,11
120,10
121,6
122,13
123,10
124,5
125,11
126,10
127,11
128,8
129,11
130,10
131,11
132,8
133,5
134,10
135,11
136,12
137,8
138,9
139,11
140,11
141,12
142,12
143,12
144,12
145,6
146,8
147,12
148,7
149,11
150,11
151,11
152,12
153,6
154,6
155,11
156,12
157,7
158,11
159,12
160,12
161,11
162,8
163,9
164,9
165,9
166,5
167,9
168,11
169,9
170,6
171,12
172,11
173,6
174,12
175,12
176,8
177,8
178,8
179,10
180,10
181,8
182,8
183,9
184,5
185,12
186,4
187,5
188,7
189,5
190,8
191,5
192,5
193,10
194,5
195,7
196,9
197,6
198,5
199,10
