epoch,Train_acc_withbias,Train_acc_org_withbias,Test_acc_withbias,Train_acc_zerobias,Train_acc_org_zerobias,Test_acc_zerobias
0,10.062,10.0,10.0,13.900000000000002,27.348,27.87
1,11.456,16.636,16.7,13.192,25.026,25.66
2,11.484,17.186,17.22,12.872,23.712,24.15
4,11.716,18.168,18.21,14.004,28.396,28.74
6,12.04,19.022,19.29,15.162,33.050000000000004,33.19
8,12.042,18.398,18.759999999999998,15.848,35.044,35.53
10,11.991999999999999,17.342,17.52,16.572,36.704,36.980000000000004
12,11.91,16.259999999999998,16.34,17.442,37.832,37.72
14,11.874,15.338,15.47,18.376,38.23,37.89
16,12.08,15.276,15.409999999999998,19.378,38.122,37.62
18,12.595999999999998,15.774,15.75,20.605999999999998,37.728,36.68
20,13.404,16.642000000000003,16.3,21.738,37.141999999999996,35.53
25,16.884,20.468,19.580000000000002,24.895999999999997,34.538000000000004,32.25
30,20.91,22.78,21.15,28.582,32.242,29.849999999999998
35,25.491999999999997,23.904,21.77,32.368,30.380000000000003,26.840000000000003
40,30.093999999999998,24.238,21.5,35.964,28.596,25.03
45,34.514,24.356,21.51,39.384,27.688000000000002,23.84
50,38.598,25.008000000000003,21.099999999999998,42.388,27.232,22.99
55,41.870000000000005,25.009999999999998,20.830000000000002,44.996,26.886,22.15
60,45.362,26.484,21.54,48.19,28.048000000000002,22.59
65,51.05800000000001,25.932,20.62,54.071999999999996,27.008,21.759999999999998
70,56.87799999999999,25.624000000000002,19.82,59.294000000000004,26.38,20.95
75,59.556,25.776,19.99,62.23800000000001,26.528000000000002,20.8
80,62.978,27.166,21.62,64.724,27.722,22.21
85,68.428,26.708,19.900000000000002,69.952,27.086,20.22
90,69.74000000000001,26.956000000000003,20.549999999999997,71.512,27.418,21.5
95,72.892,26.832,19.64,74.82799999999999,27.132,19.72
100,74.322,26.714,19.81,75.708,26.848,19.919999999999998
105,75.82600000000001,26.918,20.119999999999997,77.05,27.128000000000004,20.64
110,78.974,27.376,19.84,80.08,27.37,20.03
115,79.704,27.388,20.06,80.74799999999999,27.38,20.45
120,82.852,27.444000000000003,19.509999999999998,83.92399999999999,27.488,19.64
125,82.744,27.311999999999998,19.62,83.722,27.426000000000002,20.01
130,83.666,27.62,19.3,84.71,27.628000000000004,19.91
135,85.102,27.954,20.57,86.086,27.933999999999997,20.849999999999998
140,87.742,27.376,18.970000000000002,88.668,27.41,19.08
145,87.36,27.761999999999997,19.54,88.362,27.72,19.75
150,88.91799999999999,27.998,20.21,89.802,27.98,20.39
155,89.91,27.496,18.92,90.564,27.424,19.15
160,89.782,27.936,19.67,90.67399999999999,27.862,20.19
165,92.108,27.883999999999997,19.29,92.828,27.82,19.82
170,91.396,27.826,19.77,92.30199999999999,27.76,19.74
175,91.01599999999999,27.833999999999996,19.61,91.702,27.79,19.8
180,93.418,28.082,20.369999999999997,94.134,28.038,20.47
185,94.554,28.346,21.099999999999998,95.11800000000001,28.316000000000003,21.25
190,96.08,28.1,20.39,96.614,28.03,20.49
195,96.678,28.098,19.82,97.202,28.008,20.34
200,97.146,28.1,19.97,97.588,28.052,20.32
205,96.822,28.136,20.44,97.25399999999999,28.048000000000002,20.630000000000003
210,92.486,27.85,20.06,92.944,27.816000000000003,20.31
215,97.738,28.072000000000003,20.31,98.138,27.982000000000003,20.560000000000002
220,98.232,27.983999999999998,20.32,98.528,27.883999999999997,20.66
225,99.33999999999999,27.908,20.419999999999998,99.55199999999999,27.860000000000003,20.51
230,99.432,27.877999999999997,19.8,99.646,27.848,20.31
