,acc_class
0,0.004
1,0.014
2,0.058
3,0.018
4,0.026
5,0.0
6,0.0
7,0.0
8,0.004
9,0.0
10,0.008
11,0.0
12,0.014
13,0.106
14,0.01
15,0.002
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.088
22,0.0
23,0.024
24,0.0
25,0.0
26,0.002
27,0.0
28,0.0
29,0.0
30,0.0
31,0.004
32,0.02
33,0.0
34,0.126
35,0.056
36,0.104
37,0.01
38,0.006
39,0.002
40,0.17
41,0.008
42,0.002
43,0.016
44,0.106
45,0.0
46,0.006
47,0.002
48,0.0
49,0.0
50,0.07
51,0.018
52,0.08
53,0.048
54,0.002
55,0.01
56,0.0
57,0.0
58,0.062
59,0.002
60,0.032
61,0.01
62,0.0
63,0.004
64,0.0
65,0.0
66,0.0
67,0.0
68,0.012
69,0.068
70,0.042
71,0.002
72,0.01
73,0.002
74,0.02
75,0.014
76,0.0
77,0.012
78,0.048
79,0.004
80,0.0
81,0.0
82,0.04
83,0.062
84,0.0
85,0.0
86,0.002
87,0.004
88,0.0
89,0.0
90,0.074
91,0.056
92,0.002
93,0.1
94,0.012
95,0.0
96,0.0
97,0.006
98,0.01
99,0.024
100,0.0
101,0.014
102,0.0
103,0.098
104,0.04
105,0.012
106,0.004
107,0.0
108,0.0
109,0.012
110,0.0
111,0.004
112,0.008
113,0.042
114,0.026
115,0.0
116,0.024
117,0.0
118,0.018
119,0.0
120,0.0
121,0.006
122,0.0
123,0.008
124,0.0
125,0.002
126,0.0
127,0.0
128,0.0
129,0.0
130,0.002
131,0.012
132,0.0
133,0.034
134,0.0
135,0.0
136,0.0
137,0.004
138,0.002
139,0.004
140,0.018
141,0.0
142,0.0
143,0.002
144,0.002
145,0.004
146,0.0
147,0.0
148,0.0
149,0.0
150,0.002
151,0.0
152,0.0
153,0.0
154,0.002
155,0.002
156,0.0
157,0.0
158,0.016
159,0.006
160,0.0
161,0.01
162,0.0
163,0.012
164,0.0
165,0.0
166,0.0
167,0.0
168,0.002
169,0.01
170,0.002
171,0.0
172,0.0
173,0.0
174,0.0
175,0.01
176,0.01
177,0.0
178,0.004
179,0.01
180,0.0
181,0.0
182,0.01
183,0.0
184,0.29
185,0.0
186,0.036
187,0.0
188,0.006
189,0.108
190,0.04
191,0.014
192,0.0
193,0.0
194,0.02
195,0.018
196,0.0
197,0.0
198,0.016
199,0.0
