,number_pca_components_class
0,143
1,119
2,159
3,164
4,157
5,186
6,192
7,187
8,162
9,143
10,199
11,172
12,121
13,141
14,169
15,200
16,202
17,208
18,164
19,174
20,139
21,154
22,127
23,95
24,186
25,166
26,173
27,178
28,148
29,173
30,170
31,164
32,172
33,162
34,152
35,122
36,154
37,154
38,170
39,169
40,203
41,167
42,197
43,184
44,112
45,142
46,192
47,191
48,164
49,114
50,93
51,131
52,137
53,131
54,153
55,141
56,128
57,98
58,127
59,213
60,156
61,144
62,172
63,184
64,221
65,170
66,141
67,210
68,152
69,186
70,123
71,159
72,203
73,216
74,169
75,184
76,228
77,167
78,130
79,234
80,227
81,114
82,132
83,193
84,133
85,165
86,153
87,150
88,232
89,204
90,172
91,155
92,191
93,142
94,127
95,184
96,157
97,164
98,171
99,219
100,208
101,156
102,217
103,115
104,192
105,150
106,188
107,159
108,164
109,192
110,157
111,122
112,158
113,207
114,160
115,136
116,121
117,192
118,107
119,169
120,189
121,133
122,218
123,171
124,113
125,202
126,120
127,197
128,141
129,177
130,204
131,200
132,185
133,81
134,176
135,225
136,182
137,179
138,181
139,201
140,159
141,189
142,203
143,130
144,206
145,113
146,155
147,190
148,169
149,220
150,203
151,181
152,180
153,138
154,136
155,168
156,198
157,166
158,196
159,222
160,210
161,216
162,126
163,180
164,134
165,98
166,91
167,155
168,234
169,162
170,127
171,157
172,185
173,148
174,199
175,225
176,145
177,151
178,159
179,189
180,195
181,173
182,163
183,154
184,146
185,205
186,130
187,146
188,195
189,153
190,164
191,111
192,124
193,149
194,117
195,148
196,160
197,156
198,128
199,181
