,number_pca_components_class
0,117
1,101
2,120
3,125
4,108
5,136
6,143
7,144
8,122
9,127
10,140
11,132
12,111
13,110
14,126
15,139
16,147
17,156
18,138
19,126
20,111
21,128
22,110
23,91
24,147
25,147
26,143
27,141
28,128
29,133
30,138
31,141
32,142
33,134
34,135
35,118
36,121
37,117
38,136
39,124
40,134
41,145
42,129
43,124
44,94
45,117
46,131
47,146
48,133
49,117
50,109
51,119
52,113
53,129
54,130
55,120
56,119
57,109
58,126
59,160
60,127
61,127
62,126
63,141
64,150
65,136
66,125
67,152
68,130
69,144
70,107
71,120
72,147
73,154
74,143
75,140
76,155
77,143
78,106
79,160
80,162
81,109
82,117
83,149
84,124
85,131
86,125
87,126
88,149
89,156
90,136
91,132
92,145
93,124
94,100
95,129
96,122
97,141
98,152
99,157
100,146
101,120
102,148
103,103
104,152
105,125
106,150
107,126
108,129
109,143
110,134
111,113
112,131
113,160
114,130
115,109
116,108
117,144
118,116
119,128
120,134
121,110
122,143
123,144
124,90
125,144
126,114
127,137
128,114
129,127
130,154
131,151
132,129
133,87
134,140
135,157
136,145
137,131
138,138
139,149
140,125
141,141
142,146
143,121
144,155
145,99
146,123
147,150
148,119
149,157
150,149
151,137
152,125
153,109
154,111
155,144
156,150
157,118
158,149
159,155
160,163
161,156
162,113
163,143
164,128
165,106
166,90
167,117
168,158
169,131
170,113
171,140
172,146
173,105
174,150
175,165
176,122
177,135
178,123
179,150
180,141
181,128
182,133
183,131
184,111
185,154
186,115
187,117
188,143
189,132
190,135
191,113
192,121
193,134
194,101
195,117
196,123
197,116
198,112
199,124
