,acc_class
0,0.488
1,0.426
2,0.378
3,0.298
4,0.442
5,0.302
6,0.308
7,0.302
8,0.436
9,0.306
10,0.338
11,0.328
12,0.408
13,0.416
14,0.348
15,0.294
16,0.27
17,0.39
18,0.448
19,0.356
20,0.32
21,0.466
22,0.45
23,0.574
24,0.324
25,0.322
26,0.332
27,0.272
28,0.276
29,0.316
30,0.288
31,0.44
32,0.318
33,0.298
34,0.344
35,0.2
36,0.446
37,0.284
38,0.388
39,0.342
40,0.32
41,0.438
42,0.33
43,0.364
44,0.548
45,0.448
46,0.25
47,0.38
48,0.212
49,0.264
50,0.32
51,0.19
52,0.34
53,0.286
54,0.228
55,0.378
56,0.196
57,0.326
58,0.344
59,0.31
60,0.412
61,0.396
62,0.288
63,0.356
64,0.288
65,0.342
66,0.354
67,0.308
68,0.374
69,0.416
70,0.35
71,0.396
72,0.352
73,0.326
74,0.394
75,0.378
76,0.286
77,0.354
78,0.43
79,0.342
80,0.368
81,0.472
82,0.458
83,0.368
84,0.326
85,0.348
86,0.318
87,0.32
88,0.294
89,0.482
90,0.448
91,0.318
92,0.336
93,0.406
94,0.362
95,0.364
96,0.306
97,0.462
98,0.454
99,0.344
100,0.328
101,0.476
102,0.318
103,0.482
104,0.404
105,0.338
106,0.394
107,0.49
108,0.362
109,0.274
110,0.388
111,0.416
112,0.312
113,0.412
114,0.38
115,0.506
116,0.254
117,0.414
118,0.382
119,0.252
120,0.352
121,0.326
122,0.3
123,0.37
124,0.442
125,0.34
126,0.394
127,0.32
128,0.39
129,0.296
130,0.372
131,0.298
132,0.292
133,0.344
134,0.328
135,0.32
136,0.35
137,0.302
138,0.332
139,0.418
140,0.276
141,0.334
142,0.294
143,0.474
144,0.36
145,0.512
146,0.456
147,0.336
148,0.39
149,0.28
150,0.356
151,0.338
152,0.406
153,0.382
154,0.39
155,0.4
156,0.424
157,0.322
158,0.34
159,0.328
160,0.39
161,0.32
162,0.266
163,0.398
164,0.376
165,0.442
166,0.484
167,0.328
168,0.324
169,0.386
170,0.324
171,0.324
172,0.358
173,0.402
174,0.348
175,0.31
176,0.412
177,0.426
178,0.45
179,0.368
180,0.32
181,0.324
182,0.326
183,0.428
184,0.404
185,0.322
186,0.574
187,0.45
188,0.398
189,0.442
190,0.366
191,0.538
192,0.494
193,0.522
194,0.404
195,0.332
196,0.386
197,0.34
198,0.486
199,0.292
