,acc_class
0,0.07
1,0.038
2,0.006
3,0.008
4,0.002
5,0.014
6,0.008
7,0.008
8,0.002
9,0.002
10,0.004
11,0.0
12,0.006
13,0.21
14,0.0
15,0.002
16,0.004
17,0.008
18,0.008
19,0.034
20,0.002
21,0.004
22,0.01
23,0.752
24,0.004
25,0.002
26,0.01
27,0.0
28,0.0
29,0.0
30,0.012
31,0.08
32,0.0
33,0.008
34,0.052
35,0.002
36,0.0
37,0.028
38,0.02
39,0.034
40,0.01
41,0.006
42,0.028
43,0.008
44,0.058
45,0.07
46,0.012
47,0.0
48,0.0
49,0.004
50,0.024
51,0.0
52,0.028
53,0.0
54,0.014
55,0.008
56,0.006
57,0.006
58,0.012
59,0.0
60,0.038
61,0.006
62,0.02
63,0.024
64,0.0
65,0.002
66,0.006
67,0.024
68,0.056
69,0.0
70,0.0
71,0.004
72,0.002
73,0.004
74,0.018
75,0.004
76,0.008
77,0.008
78,0.032
79,0.0
80,0.0
81,0.094
82,0.016
83,0.016
84,0.006
85,0.014
86,0.008
87,0.0
88,0.002
89,0.014
90,0.004
91,0.0
92,0.002
93,0.02
94,0.0
95,0.012
96,0.008
97,0.002
98,0.0
99,0.018
100,0.0
101,0.022
102,0.002
103,0.02
104,0.0
105,0.002
106,0.0
107,0.002
108,0.012
109,0.004
110,0.0
111,0.076
112,0.01
113,0.002
114,0.002
115,0.012
116,0.004
117,0.062
118,0.0
119,0.0
120,0.0
121,0.006
122,0.002
123,0.004
124,0.004
125,0.0
126,0.01
127,0.004
128,0.004
129,0.0
130,0.006
131,0.0
132,0.0
133,0.124
134,0.012
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.01
141,0.002
142,0.0
143,0.01
144,0.002
145,0.024
146,0.002
147,0.0
148,0.014
149,0.008
150,0.006
151,0.002
152,0.018
153,0.01
154,0.014
155,0.002
156,0.0
157,0.008
158,0.006
159,0.002
160,0.0
161,0.004
162,0.004
163,0.008
164,0.008
165,0.004
166,0.172
167,0.0
168,0.0
169,0.004
170,0.082
171,0.014
172,0.008
173,0.01
174,0.014
175,0.0
176,0.536
177,0.014
178,0.004
179,0.002
180,0.004
181,0.016
182,0.012
183,0.008
184,0.052
185,0.024
186,0.09
187,0.02
188,0.006
189,0.018
190,0.01
191,0.048
192,0.024
193,0.0
194,0.012
195,0.068
196,0.016
197,0.038
198,0.078
199,0.0
