,number_pca_components_class
0,6
1,9
2,12
3,10
4,12
5,11
6,11
7,11
8,9
9,10
10,10
11,10
12,8
13,5
14,8
15,11
16,11
17,11
18,7
19,10
20,9
21,8
22,7
23,4
24,9
25,8
26,9
27,10
28,10
29,9
30,10
31,8
32,9
33,10
34,10
35,10
36,9
37,9
38,9
39,10
40,11
41,10
42,10
43,10
44,9
45,6
46,9
47,10
48,11
49,11
50,10
51,10
52,11
53,10
54,10
55,8
56,10
57,10
58,10
59,10
60,7
61,9
62,8
63,8
64,10
65,9
66,9
67,10
68,8
69,10
70,7
71,7
72,8
73,9
74,8
75,10
76,11
77,8
78,10
79,10
80,10
81,8
82,6
83,8
84,9
85,8
86,9
87,9
88,11
89,11
90,6
91,10
92,12
93,7
94,8
95,9
96,8
97,10
98,10
99,11
100,9
101,7
102,10
103,8
104,10
105,7
106,8
107,10
108,9
109,8
110,9
111,7
112,7
113,9
114,11
115,8
116,7
117,10
118,9
119,8
120,7
121,8
122,10
123,8
124,6
125,9
126,8
127,10
128,7
129,10
130,9
131,9
132,8
133,6
134,8
135,10
136,9
137,8
138,8
139,10
140,8
141,10
142,9
143,10
144,10
145,8
146,8
147,10
148,7
149,9
150,9
151,10
152,11
153,8
154,7
155,9
156,9
157,8
158,9
159,10
160,10
161,9
162,9
163,8
164,9
165,9
166,6
167,8
168,11
169,7
170,8
171,10
172,8
173,7
174,11
175,10
176,7
177,8
178,8
179,8
180,8
181,7
182,7
183,8
184,6
185,11
186,5
187,5
188,8
189,6
190,7
191,6
192,6
193,9
194,6
195,8
196,8
197,7
198,6
199,9
