,number_pca_components_class
0,11
1,14
2,15
3,14
4,16
5,14
6,18
7,17
8,15
9,16
10,18
11,15
12,14
13,11
14,15
15,17
16,17
17,18
18,15
19,15
20,14
21,15
22,14
23,11
24,16
25,17
26,17
27,16
28,16
29,17
30,17
31,16
32,16
33,18
34,15
35,15
36,14
37,14
38,17
39,14
40,17
41,18
42,15
43,16
44,14
45,14
46,16
47,17
48,16
49,16
50,16
51,15
52,15
53,16
54,16
55,15
56,15
57,16
58,15
59,16
60,12
61,16
62,15
63,15
64,19
65,15
66,16
67,19
68,15
69,17
70,13
71,15
72,17
73,17
74,15
75,14
76,17
77,15
78,17
79,18
80,17
81,15
82,16
83,14
84,15
85,16
86,14
87,15
88,18
89,18
90,14
91,18
92,16
93,15
94,14
95,16
96,16
97,15
98,18
99,18
100,17
101,13
102,19
103,17
104,17
105,14
106,16
107,16
108,16
109,15
110,15
111,13
112,14
113,17
114,15
115,15
116,13
117,15
118,17
119,14
120,15
121,15
122,19
123,14
124,14
125,15
126,15
127,16
128,13
129,16
130,17
131,18
132,15
133,13
134,18
135,17
136,15
137,16
138,14
139,16
140,16
141,17
142,16
143,15
144,17
145,14
146,14
147,16
148,15
149,18
150,17
151,16
152,17
153,14
154,13
155,18
156,16
157,16
158,19
159,19
160,17
161,17
162,14
163,15
164,15
165,14
166,12
167,15
168,17
169,15
170,15
171,16
172,17
173,13
174,16
175,17
176,13
177,16
178,15
179,15
180,15
181,14
182,15
183,14
184,13
185,17
186,12
187,13
188,14
189,16
190,14
191,13
192,15
193,15
194,14
195,16
196,14
197,15
198,14
199,16
